Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
2,Insurers,Berjaya Sompo Insurance Berhad,Mohamad Azman bin Soaed,Tricia Mallika Appaduray,Rina Aprila Afianty,Samson Liew Zyun Fung,Tricia Mallika Appaduray,,Kesavan Raj A/L Krishnan
4,E-Money,BigPay (Capital A),,,Mun Hui Teh,,,,
3,MSBs,BigPay Malaysia Sdn Bhd,,,Mun Hui Teh,,,,
3,MSBs,Billplz Sdn Bhd,,,,,,,
4,E-Money,Boost (Axiata + RHB),Shankar Krishnan,Abid Abdul Adam,Steven Lim,Puteri Syurga,Dr Mohanamerry Vedamanikam,Shankar Krishnan,Miraz Ahmed
6,Fintech Sandbox,Boost Bank Berhad,Shankar Krishnan,,Steven Lim,Puteri Syurga,Dr Mohanamerry Vedamanikam,Shankar Krishnan,Miraz Ahmed
5,GLC-Linked,CIMB (Khazanah-linked),Charles J. Samuel,Vera Handajani,Khairul Rifaie,Vera Handajani,Kwan Keen Yew,Ros Aziah Mohd Yusoff,Amran Mohamad
1,Licensed Banks,CIMB Bank Berhad,Charles Samuel,Kwan Keen Yew,Khairul Rifaie,Vera Handajani,Kwan Keen Yew,Ros Aziah Mohd Yusoff,Amran Mohamad
2,Investment Banks,CIMB Investment Bank Berhad,Charles Samuel,Kwan Keen Yew,Khairul Rifaie,Vera Handajani,Kwan Keen Yew,Ros Aziah Mohd Yusoff,Amran Mohamad
1,Licensed Banks,CIMB Islamic Bank Berhad,Charles Samuel,Kwan Keen Yew,Khairul Rifaie,Vera Handajani,Kwan Keen Yew,Ros Aziah Mohd Yusoff,Amran Mohamad
4,E-Money,CIMB OctoPay (CIMB Bank),Charles Samuel,Kwan Keen Yew,Khairul Rifaie,Vera Handajani,Kwan Keen Yew,Ros Aziah Mohd Yusoff,Amran Mohamad
4,Card Schemes,CIMB Petronas Visa Card,Charles Samuel,Kwan Keen Yew,Khairul Rifaie,Vera Handajani,Kwan Keen Yew,Ros Aziah Mohd Yusoff,Amran Mohamad
2,Insurers,Chubb Insurance Malaysia Berhad,,Dato' Mohzani Bin Abdul Wahab,Olivier Bouchard,Ng Khai Yan,,Kenny W. K. Tan,Chong Keh Bin
1,Licensed Banks,Citibank Berhad,,Vikram Singh,Tan Alyse,Mark Fordyce Hart,,Abhijit Dattanand Kumta,Puan Norazilla binti Md Tahir
5,GLC-Linked,Cradle Fund Sdn Bhd,,,,,,,
1,Licensed Banks,Credit Suisse (Malaysia) Berhad,,,,,,,
3,MSBs,CurrencyFair (Malaysia) Sdn Bhd,,,,,,,
1,Licensed Banks,Deutsche Bank (Malaysia) Berhad,Jeng Yean Won,,Liew Yeh Yin,Surabhi Agarwal,,,
4,Payment Operators,DuitNow (by PayNet),Meling Mudin,,Tan Wei Tze,,,Teh Lip Guan,
3,Development FIs,EXIM Bank Malaysia,Hairil Izwar Abd Rahman,Wan Noorazli Maula Wan Suleiman,Hee Wei Jean,Abdul Hadi Jusoh,Nizam Samad,Hairil Izwar Abd Rahman,Shahrul Farelli Zulkiffli
2,Insurers,Etiqa General Insurance Berhad,Devinder Singh Sardool Singh,Nurliana Mat Lazim,Lee Hin Sze,Nurliana Mat Lazim,Roslina Mohd Ramza,Dennis Liu,Azian Ismail
2,Insurers,Etiqa Life Insurance Berhad,Devinder Singh Sardool Singh,Nurliana Mat Lazim,Lee Hin Sze,Nurliana Mat Lazim,Roslina Mohd Ramza,Dennis Liu,Azian Ismail
2,Takaful,Etiqa Takaful Berhad,Devinder Singh Sardool Singh,Nurliana Mat Lazim,Lee Hin Sze,Nurliana Mat Lazim,Roslina Mohd Ramza,Dennis Liu,Azian Ismail
4,Payment Operators,FPX (by PayNet),Meling Mudin,,Tan Wei Tze,,,Teh Lip Guan,
2,Insurers,FWD Insurance Berhad,,Anita Menon,Yeoh Eng Hun,Anita Menon,Anita Menon,,Cheryl Lim
2,Takaful,Family Takaful Berhad,Nazaruddin Adha bin Md Noor,Shizal Fisham bin Ramli,New Kheng Chee,Shizal Fisham Ramli,Redzuan bin Abu,Nazaruddin Adha bin Md Noor,Zuhairi bin Ismail
3,MSBs,G2G Online (Malaysia) Sdn Bhd,,,,,,,
6,Fintech Sandbox,GX Bank Berhad,,Kiyoka Thaam,Kenneth Leong,Kiyoka Thaam,Nadia Farhan Noordin,Nishant Sharma,Karina Sivam
6,Fintech Sandbox,GXBank Berhad,,Kiyoka Thaam,Kenneth Leong,Kiyoka Thaam,Nadia Farhan Noordin,Nishant Sharma,Karina Sivam
2,Takaful,General Takaful Berhad,,Shizal Fisham bin Ramli,New Kheng Chee,,Redzuan bin Abu,Nazaruddin Adha bin Md Noor,Zuhairi bin Ismail
2,Insurers,Generali Insurance Malaysia Berhad,,Haneeza Abdul Kadir,Tony Lin,Vincent Fong,Nor Hakimah Abdul Latiff,Laurent Crouet,Vivian Ho
2,Insurers,Generali Life Insurance Malaysia Berhad,,Vincent Fong,Tony Lin,Vincent Fong,Aw Teck Yee,,George Tan
4,E-Money,GrabPay (Grab Malaysia),,,Peter Oey,,,Suthen Thomas Paradatheth,
3,MSBs,GrabPay Malaysia Sdn Bhd,,,Peter Oey,,,Suthen Thomas Paradatheth,
2,Insurers,Great Eastern General Insurance (Malaysia) Berhad,,Liza Hanim Zainal Abidin,Cheng Chuen Chee,Teo Chun Seng,Liza Hanim Zainal Abidin,Vincent Chin,Audra Chung Kit Li
2,Insurers,Great Eastern Life Assurance (Malaysia) Berhad,Vincent Chin,Liza Hanim Zainal Abidin,Loke Chang Yueh,Teo Chun Seng,Helen Quat Li Huang,Vincent Chin,Audra Chung Kit Li
2,Takaful,HSBC Amanah Takaful (Malaysia) Berhad,,,Muhammad Afiq bin Hamzah,,Lim Weng Leong,,
1,Licensed Banks,HSBC Bank Malaysia Berhad,,Brian McGuire,Elly Neoh,Brian McGuire,Brian McGuire,Mei Ling Soo,
2,Insurers,Hong Leong Assurance Berhad,Low Tek Chee,Lim Mei Gie,Ong Kheng Heng,Lim Mei Gie,Lee Noushi,Low Tek Chee,Chua Yew Lim
4,Card Schemes,Hong Leong Bank AirMiles Card,Dr. Simon Hoh,Justin Soong,Malkit Singh,Justin Soong,Jack Babani,William Streitberg,Chua Yew Lim
1,Licensed Banks,Hong Leong Bank Berhad,Dr. Simon Hoh,Justin Soong,Malkit Singh,Justin Soong,Jack Babani,William Streitberg,Chua Yew Lim
2,Investment Banks,Hong Leong Investment Bank Berhad,,Justin Soong,Malkit Singh,Justin Soong,Jack Babani,William Streitberg,Chua Yew Lim
1,Licensed Banks,Hong Leong Islamic Bank Berhad,Dr. Simon Hoh,Justin Soong,Malkit Singh,Justin Soong,Jack Babani,William Streitberg,Chua Yew Lim
3,MSBs,I.Destinasi Sdn Bhd (IDSB),,,,,,,
1,Licensed Banks,ICBC (Malaysia) Berhad,,,,,Liau Cheek,,
3,MSBs,Instarem Sdn Bhd,,,Andre Mancl,Amaresh Mohan,Amaresh Mohan,Sekhar Cidambi,
5,GLC-Linked,Iskandar Waterfront City,,,,,,,
1,Licensed Banks,J.P. Morgan Chase Bank Malaysia Berhad,,,,,Gail Koh De Josselin,,
2,Investment Banks,JCL Corporation Sdn Bhd,,,,,,,
6,Fintech Sandbox,Jirnexu (M) Sdn Bhd,,,,,,,
5,GLC-Linked,Johor Corporation (JCorp),,Mohd Azmi Hitam,Rozaini Mohd Sani,,Mohd Azmi Hitam,Ahmad Yusri Mohamed,Mohd Nordin Jamaludin
4,Payment Operators,JomPAY (by PayNet),Meling Mudin,,Tan Wei Tze,,,Teh Lip Guan,
6,Fintech Sandbox,KAF Digital Bank,,,Mohd Nizaruddin,,,,
6,Fintech Sandbox,KAF Digital Bank Berhad,,,Mohd Nizaruddin,,,,
6,Fintech Sandbox,KDI Save Sdn Bhd,,,,,,,
5,GLC-Linked,KWSP Investment Division (Alternative Assets),Jasmine Goh,Nora Badaruddin,Ahmad Rizal Omar,Rozlina Abdul Samad,Chong Yee Leng,Afhzal Abdul Rahman,Mohammad Nasir Ismail
5,GLC-Linked,KWSP Investment Division (Direct Investments),Jasmine Goh,Nora Badaruddin,Ahmad Rizal Omar,Rozlina Abdul Samad,Chong Yee Leng,Afhzal Abdul Rahman,Mohammad Nasir Ismail
5,GLC-Linked,KWSP Investment Division (Real Estate),Jasmine Goh,Nora Badaruddin,Ahmad Rizal Omar,Rozlina Abdul Samad,Chong Yee Leng,Afhzal Abdul Rahman,Mohammad Nasir Ismail
2,Investment Banks,Kenanga Investment Bank Berhad,Low Jia Yee,Tai Yan Fee,Cheong Boon Kak,Tai Yan Fee,Choo Siew Fun,Low Jia Yee,Terence Tan Kian Meng
5,GLC-Linked,Khazanah Nasional Berhad,,Dato' Suhana Dewi Selamat,Faridah Bakar Ali,Dato' Suhana Dewi Selamat,Dato' Suhana Dewi Selamat,Datuk Hisham Hamdan,
3,Cooperatives,Koperasi Angkatan Tentera,,,,,,,
3,Cooperatives,Koperasi Guru Malaysia,,,,,,,
3,Cooperatives,Koperasi Johor,,,,,,,
3,Cooperatives,Koperasi KL,,,,,,,
3,Cooperatives,Koperasi Kakitangan Kerajaan,,,,,,,
3,Cooperatives,Koperasi Kedah,,,,,,,
3,Cooperatives,Koperasi Kelantan,,,,,,,
3,Cooperatives,Koperasi Labuan,,,,,,,
3,Cooperatives,Koperasi Melaka,,,,,,,
3,Cooperatives,Koperasi Negeri Sembilan,,,,,,,
3,Cooperatives,Koperasi Pahang,,,,,,,
3,Cooperatives,Koperasi Perak,,,,,,,
3,Cooperatives,Koperasi Perlis,,,,,,,
3,Cooperatives,Koperasi Polis Diraja Malaysia,,,,,,,
3,Cooperatives,Koperasi Pulau Pinang,,,,,,,
3,Cooperatives,Koperasi Putrajaya,,,,,,,
3,Cooperatives,Koperasi Sabah,,,,,,,
3,Cooperatives,Koperasi Sarawak,,,,,,,
3,Cooperatives,Koperasi Selangor,,,,,,,
3,Cooperatives,Koperasi Tentera Malaysia,,,,,,,
3,Cooperatives,Koperasi Terengganu,,,,,,,
5,GLC-Linked,Kumpulan Wang Simpanan Pekerja (KWSP),Jasmine Goh,Mohd Dali Jasmin,Mohamad Hafiz Kassim,Rozlina Abd Samad,Chong Yee Leng,Afhzal Abdul Rahman,Mohammad Nasir Ismail
2,Insurers,Kurnia Insurans (Malaysia) Berhad,,,,,Peter Ong,Ganesan Vaithilingam,Tan Bee Chuan
3,Development FIs,LPPSA,,,,,,,
5,GLC-Linked,Lembaga Tabung Haji,Shamsul Kamal Hussein Kamal,Syahril Nizam Abu Hasan,Shamsul Bahar Shamsudin,Syahril Nizam Abu Hasan,Syahril Nizam Abu Hasan,Shamsul Kamal Hussein Kamal,Abu Bakar Baba
2,Insurers,Liberty General Insurance Berhad,Ganesan Vaithilingam,Jonathan Chong,Suppiah Poongavanam,Jonathan Chong,Suffian bin Abdul Rahman,Ganesan Vaithilingam,Tan Bee Chuan
2,Insurers,Lonpac Insurance Bhd,Lai Geng Farn,Lee Chiew Lai,Ng Seng Khin,Lee Chiew Lai,Mahinder Kaur a/p Kapal Singh,Cynthia Ng Boon Howe,Irene Hwang Siew Ling
4,E-Money,MAE by Maybank (Maybank Islamic),Devinder Singh,Mohamed Rezwan Abdullah Ismail,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow,Giorgio Migliarina,Malique Firdauz Ahmad Sidique
4,E-Money,MAE by Maybank (Maybank2u),Devinder Singh,Mohamed Rezwan Abdullah Ismail,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow,Giorgio Migliarina,Azian Ismail
3,Development FIs,MARA,,,,,,Dr. Azmi bin Amat Murjan,
5,GLC-Linked,MARA (Majlis Amanah Rakyat),,,,,,Dr. Azmi bin Amat Murjan,
2,Insurers,MCIS Insurance Berhad,,,Susan Conradie,Nurliana binti Mat Lazim,Norlin Fatima Albakri,Ng Chee Sang,Noor Hayati binti Abu Yaziz
2,Investment Banks,MIDF Amanah Investment Bank Berhad,,Nor Azita Binti Sarip,Shahnaz Jammal,Laurence Ong Wooi Keat,Meor Ibrahim Othman,Noor Azman Bin Abdul Karim,Zanariah Daud
2,Insurers,MSIG Insurance (Malaysia) Bhd,,,Soh Lai Sim,Kelvin Hii Chee Yun,,Chin Jee Gwan,
2,Investment Banks,Malaysia International Islamic Bank IB,,,,,,,
2,Insurers,Manulife Insurance Berhad,,,Ng Chun Nam,Mohd Naim Mohd Arsad,Senthil Woon,Bernard Sia,
2,Takaful,Manulife Takaful Malaysia Berhad,,,Ng Chun Nam,Mohd Naim Bin Mohd Arsad,Senthil Woon Wai Keong,Bernard Sia,Krishna Rajaa Ramalingam
5,GLC-Linked,Maybank (Khazanah-linked),,Mohamed Rezwan Abdullah Ismail,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow,Giorgio Migliarina,Azian Ismail
1,Licensed Banks,Maybank Berhad,Devinder Singh,Mohamed Rezwan Abdullah Ismail,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow,Giorgio Migliarina,Azian Ismail
4,Card Schemes,Maybank Cash & Go Prepaid Card,Devinder Singh,Mohamed Rezwan Abdullah Ismail,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow,Giorgio Migliarina,Azian Ismail
2,Investment Banks,Maybank Investment Bank Berhad,,,Ezrina Mahadzir,Cheryl Cheng Siew Ying,Farhan Nor Diyana Samsudin,Adrian Tan Kai Thern,Rafirah Muhammad Arif
1,Licensed Banks,Maybank Islamic Berhad,Devinder Singh,Mohamed Rezwan Abdullah Ismail,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow,Giorgio Migliarina,Malique Firdauz Ahmad Sidique
4,Card Schemes,Maybank Singapore Airlines Enrich Card,Devinder Singh,Mohamed Rezwan Abdullah Ismail,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow,Giorgio Migliarina,Azian Ismail
4,Payment Operators,Me2U (by PayNet),Meling Mudin,,Tan Wei Tze,,,Teh Lip Guan,
1,Licensed Banks,Mizuho Bank (Malaysia) Berhad,,,,,,,Lim Kim Seng
3,MSBs,Money Match Sdn Bhd,,,,,,,
3,MSBs,MoneyMatch Sdn Bhd,Poorya,,Anees Aisyah,,Thavalogan,Jerry Chee,
1,Licensed Banks,OCBC Bank (Malaysia) Berhad,Dominic Yew,Dr Priya Ranjan Sharma,Ms Teoh Yin Meng,Dr Priya Ranjan Sharma,Ms Doreen Keng Chun Ching,Mr Hong Hee Loon,Mr Victor Ong Hock Seng
5,GLC-Linked,PNB Capital Berhad,Aishah Farha Mohd Raih,Sahlawati Mustafa,Mohd Irwan Ahmad Mustafa,Mohd Azmir Mohd Jani,Sahlawati Mustafa,Ts Izzat Aziz,Noramly Bachok @ Abdul Aziz
5,GLC-Linked,PNB Equity Fund Berhad,Aishah Farha Mohd Raih,Sahlawati Mustafa,Mohd Irwan Ahmad Mustafa,Mohd Azmir Mohd Jani,Sahlawati Mustafa,Ts Izzat Aziz,Noramly Bachok @ Abdul Aziz
5,GLC-Linked,PNB Income Fund Berhad,ENTITY LIKELY NON-EXISTENT,,,,,,
3,Development FIs,PUNB,,Ahmad Faisal Mohd Basir,Azman Abdullah,Mohd Sulaiman Khazali,Norasyikin Mansor,,Mohd Sulaiman Khazali
4,Payment Operators,PayDirect (by PayNet),Meling Mudin,,Tan Wei Tze,,,Teh Lip Guan,
4,Payment Operators,PayNet (PayNet Malaysia Sdn Bhd),Meling Mudin,,Tan Wei Tze,,,Teh Lip Guan,
4,Card Schemes,PayNet Card (by PayNet),Meling Mudin,,Tan Wei Tze,,,Teh Lip Guan,
5,GLC-Linked,Penang State Development Corporation (PSDC),,,,,,,
5,GLC-Linked,Permodalan BSN Berhad (PBSNB),,Wong Ching Fai @ Christopher,Suzylah Mohamed Noor,Wong Ching Fai @ Christopher,Wong Ching Fai @ Christopher,,
5,GLC-Linked,Permodalan Nasional Berhad (PNB),Aishah Farha Mohd Raih,Sahlawati Mustafa,Mohd Irwan Ahmad Mustafa,Mohd Azmir Mohd Jani,Sahlawati Mustafa,Ts Izzat Aziz,Noramly Bachok @ Abdul Aziz
5,GLC-Linked,Permodalan Negeri Selangor Berhad (PNSB),,Mohammed Hanafi Bin Muhi,Ahmad Zamwawi Bin Ahmad Nazari,Mohammed Hanafi Bin Muhi,Mohammed Hanafi Bin Muhi,,Mohammed Hanafi Bin Muhi
2,Investment Banks,Phillip Securities (Malaysia) Sdn Bhd,,,Alina Sim,Ramli Abd Hamid,Ramli Abd Hamid,Yorck Oliver Ago Reuber,Fatin Fitriana Amran
2,Insurers,Prudential Assurance Malaysia Berhad,Tan Chia Chee,Kamarul Hisham,Ankur Bassi,Kamarul Hisham,Idariah Idris,Chen Liaw,Rohini Maniam
2,Takaful,Prudential BSN Takaful Berhad,,,Kelvin Wong,,,,
1,Licensed Banks,Public Bank Berhad,Irene Deng,Loh Jasmine,Yik Sook Ling,Loh Jasmine,Tan Shien Doon,Public Bank Group),Fam Yoke Fong
2,Investment Banks,Public Investment Bank Berhad,Irene Deng,Jasmine Loh Sook Ling,Yik Sook Ling,Jasmine Loh Sook Ling,Tan Shien Doon,Fam Yoke Fong,Lim Then Fui
1,Licensed Banks,Public Islamic Bank Berhad,Irene Deng,Loh Jasmine,Yik Sook Ling,Loh Jasmine,Tan Shien Doon,Fam Yoke Fong,Lim Then Fui
2,Insurers,QBE Insurance (Malaysia) Sdn Bhd,,Jeyasakthi Ratnasingam,Vivien Wong,Mohd Farid Bin Othman,Jaysree Kaliappan,,
1,Licensed Banks,RHB Bank Berhad,Soon Yap,Azman Shah Md Yaman,Mohamed Bin Rastam Shahrom,Dr Chong Han Hwee,Fazlina Mohamed Ghazalli,Wong Kwang Leh,Tan Boon Ching
2,Investment Banks,RHB Investment Bank Berhad,Soon Yap,Azman Shah Md Yaman,Mohamed Bin Rastam Shahrom,Dr Chong Han Hwee,Fazlina Mohamed Ghazalli,Wong Kwang Leh,Tan Boon Ching
1,Licensed Banks,RHB Islamic Bank Berhad,Soon Yap,Azman Shah Md Yaman,Mohamed Bin Rastam Shahrom,Dr Chong Han Hwee,Fazlina Mohamed Ghazalli,Wong Kwang Leh,Tan Boon Ching
4,Card Schemes,RHB Shell Visa Card,Soon Yap,Azman Shah Md Yaman,Mohamed Bin Rastam Shahrom,Dr Chong Han Hwee,Fazlina Mohamed Ghazalli,Wong Kwang Leh,Tan Boon Ching
4,E-Money,Razer Pay (Razer Fintech),,,,,,,
4,E-Money,Razer Pay Malaysia Sdn Bhd,ENTITY DEFUNCT,,,,,,
6,Fintech Sandbox,Ryt Bank Berhad,,,Wilson Soon,Yeoh Xin Yi,Muhammad Nasir Bin Hassan,Nic Ngoo,
6,Fintech Sandbox,Ryt Bank Berhad (YTL Digital),,,Wilson Soon,Yeoh Xin Yi,Muhammad Nasir Bin Hassan,Nic Ngoo,
3,Development FIs,SME Bank Berhad,Hairil Izwar Abd Rahman,Mohammad Azam Ahmad,Hee Wei Jean,Mohammad Azam Ahmad,Rosehamidi Kamaruddin,Hairil Izwar Abd Rahman,Hasrul Farid Hasnan
5,GLC-Linked,Sabah State Financial Corporation (SSFC),,,,,,,
5,GLC-Linked,Sarawak State Financial Corporation (SSFC),,Cik Khartini Johari,Encik Leo Lanaiwong,Cik Khartini Johari,Jason Minos,Tuan Haji Nor Azlan Husaini,Encik Yap Yien Chiang
6,Fintech Sandbox,SeaBank Malaysia Berhad,,,Wilson Soon,Yeoh Xin Yi,Muhammad Nasir Bin Hassan,Nic Ngoo,
3,MSBs,SenangPay Sdn Bhd,,,Mohd Mutalib,,,,
4,E-Money,Setel (PETRONAS Dagangan),,Fazni Ismail,Mazlie Minhat,,Fazni Ismail,Sazlina Ahamad,Nik Fariza Nik Hamdan
4,E-Money,Setel by PETRONAS Dagangan Berhad,,Fazni Ismail,Mazlie Minhat,,Fazni Ismail,Sazlina Ahamad,Nik Fariza Nik Hamdan
4,E-Money,ShopeePay (Monee Malaysia),,,Tony Hou,,Fadhli Azman,,
4,E-Money,ShopeePay Malaysia Sdn Bhd,,,Tony Hou,,Fadhli Azman,,
6,Fintech Sandbox,Soft Space Sdn Bhd,,,Rick Leong,,,,
1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,Sivanathan Subramaniam,Ong Gaik Ean,Mushahid Syed,Ong Gaik Ean,Irene Tan,Joy Chowdhury,Praveen Sankaranarayan
4,Card Schemes,Standard Chartered Shopee Visa Card,Sivanathan Subramaniam,Ong Gaik Ean,Mushahid Syed,Ong Gaik Ean,Irene Tan,Joy Chowdhury,Praveen Sankaranarayan
6,Fintech Registered,Stripe Payments Malaysia Sdn Bhd,,,,,,,
1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,,,Norihiro Oyanagi,Lim Tuang Ooi,,,Lo Nyen Khing
2,Insurers,Sun Life Malaysia Assurance Berhad,,Dato' Noorazman Abd. Aziz,Lim Chin Har,Nigel Hazell,,,Wong Ah Kow
5,GLC-Linked,Syarikat Jaminan Pembiayaan Perniagaan (SJPP),,Juanita Rusmini binti Abdul Jalil,,,,,
2,Takaful,Syarikat Takaful Malaysia Berhad,,Shizal Fisham bin Ramli,New Kheng Chee,,Redzuan bin Abu,Nazaruddin Adha bin Md Noor,Zuhairi bin Ismail
4,E-Money,TNG Digital Sdn Bhd,Suresh Balachandran,Dunstan Gerald Maurice,Lai Mee Fong,Dunstan Gerald Maurice,Dunstan Gerald Maurice,Desmond Chin Ye Foong,Hairul Imran
3,Development FIs,Tabung Haji,Shamsul Kamal Hussein Kamal,Syahril Nizam Abu Hasan,Shamsul Bahar Shamsudin,Syahril Nizam Abu Hasan,Syahril Nizam Abu Hasan,Shamsul Kamal Hussein Kamal,Abu Bakar Baba
