Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
4,E-Money,Alipay+ Malaysia (Ant Group),,,,,,,
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song (Group CISO) [LinkedIn],Jacob Abraham (Group CRO + Compliance oversight) [Official: alliancebank.com.my],Ronnie Royston Fernandiz (Group Chief Financial Officer) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also oversees Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Investment Banks,Alliance Investment Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
1,Licensed Banks,Alliance Islamic Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,,,"Chin Xiao Wei (CFO Allianz General) [Official: Allianz Malaysia IAR 2024, conf 90]",,,"David Brandl (CIT Officer) [Official: Allianz Malaysia IAR 2024, conf 70 - shared across Allianz entities]",
2,Insurers,Allianz Life Insurance Malaysia Berhad,,,"Giulio Slavich (CFO AMB & Allianz Life) [Official: Allianz Malaysia IAR 2024, conf 90]",,,"David Brandl (CIT Officer) [Official: Allianz Malaysia IAR 2024, conf 70 - shared across Allianz entities]",
2,Takaful,Allianz Takaful Berhad,,,Xiao Chin (CFO) [SimplyWallSt],,,David Brandl (CIO) [SimplyWallSt],
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy (CISO) [CyberSec Malaysia 2023],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO),Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO),Faradina Binti Mohammad Ghouse (Group CCO),Wong Eng Teng (Group Chief Fintech & Technology Officer),Ng Ek Leong (Group Chief Internal Auditor)
4,Card Schemes,AmBank AirAsia Visa Card,,Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],,,,,
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Group-level: AmBank],Faradina Binti Mohammad Ghouse (Group CCO) [Group-level: AmBank],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Group-level: AmBank],Ng Ek Leong (Group Chief Internal Auditor) [Group-level: AmBank]
2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (CRO) + Faradina Binti Mohammad Ghouse (Compliance) [Group-level composite],"Phuah Shok Cheng (Group CFO, AmBank Group) [Official: ambankgroup.com]",Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Official: ambankgroup.com],Faradina Binti Mohammad Ghouse (Group CCO) [Official: ambankgroup.com],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Official: ambankgroup.com],Ng Ek Leong (Group Chief Internal Auditor) [Official: ambankgroup.com]
2,Insurers,AmMetLife Insurance Berhad,,,Michelle Cheang (Chief Financial Officer) [Official: ammetlife.com],Low Siew Mooi (Chief Risk Officer) [Official: ammetlife.com],,Loh Tian Hu (Chief Information Officer) [Official: ammetlife.com],
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),CEO: Muzzaffar Othman (now GCOO PNB); Chairman PNB: Raja Tan Sri Raja Arshad [Official: pnb.com.my],Mohd Azmir Mohd Jani (CRO) + Sahlawati Mustafa (Compliance) [Group-level composite],"Mohd Irwan Ahmad Mustafa (Group Chief Strategy and Finance Officer, PNB) [Official: pnb.com.my]","Mohd Azmir Mohd Jani (Group Chief Risk Officer, PNB) [Official: pnb.com.my]",Sahlawati Mustafa (Group Head of Compliance PNB) [Official: pnb.com.my],,Noramly Bachok (Group Head Internal Audit PNB) [Official: pnb.com.my]
4,E-Money,Axiata Digital Services Sdn Bhd (Boost),,,,,,,
2,Investment Banks,BIMB Investment Bank Berhad,"Anthony Tai (Group CISO, Bank Islam) [Official: bankislam.com]","Nik Azmir Nik Anis (Group CCO + GRC Officer, Bank Islam) [Official: bankislam.com]","Siti Nur Huda Sufian (Group CFO, Bank Islam) [Official: bankislam.com]",Alina Sylvia Appoo (Group CRO) [Group-level: Bank Islam],"Nik Azmir Nik Anis (Group CCO, Bank Islam) [Official: bankislam.com]",Zulkanain Kassim (CITO) [Group-level: Bank Islam],"Zalfitri Abd Mutalip (Group Chief Internal Auditor, Bank Islam) [Official: bankislam.com]"
1,Licensed Banks,BNP Paribas Malaysia Berhad,,,"Kevin Wong (CFO) [LinkedIn/ZoomInfo, conf 65]",,,,
1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai (Group Chief Information Security Officer) [Official: bankislam.com],Nik Azmir Nik Anis (Group Chief Compliance Officer and Group Chief Integrity and Governance Officer) [Official: bankislam.com],Siti Nur Huda Sufian (Group Chief Financial Officer) [Official: bankislam.com],Alina Sylvia Appoo (Group CRO) [Bloomberg],Nik Azmir Nik Anis (Group Chief Compliance Officer) [Official: bankislam.com],Zulkanain Kassim (CITO) [LinkedIn],Zalfitri Abd Mutalip (Group Chief Internal Auditor) [Official: bankislam.com]
2,Investment Banks,Bank Rakyat Investment Bank Berhad,,,Nor Haimee Zakaria (Chief Finance Officer) [Group-level: Bank Rakyat],Azni Azaddin (Group Chief Risk Officer) [Group-level: Bank Rakyat],Jufree Soaidin (Group Chief Compliance Officer) [Group-level: Bank Rakyat],,
3,Development FIs,Bank Rakyat Malaysia,,Azni Azaddin (CRO) + Jufree Soaidin (Compliance) [Composite],Nor Haimee Zakaria (Chief Finance Officer) [Official: bankrakyat.com.my],Azni Azaddin (Group Chief Risk Officer) [Official: bankrakyat.com.my],Jufree Soaidin (Group Chief Compliance Officer) [Official: bankrakyat.com.my],Zulkanain Kassim (Chief Information Technology Officer) [LinkedIn/TheOfficialBoard],
3,Development FIs,Bank Simpanan Nasional (BSN),,Muizz Aiman Farid (CRO) + Sujit Guha Thakurta (Compliance) [Composite],Norhafizah Md Shariff (Chief Financial Officer) [Official: bsn.com.my],Muizz Aiman Farid (SVP / Chief Risk Officer) [Official: bsn.com.my],Sujit Guha Thakurta (SVP / Chief Compliance Officer) [Official: bsn.com.my],Asrul Kamaruddin (Chief Information Officer) [TheOrg - unverified],
1,Licensed Banks,Bank of China (Malaysia) Berhad,Willy Neo,Anysia Yeung (CRO) + Ker Yong (Compliance) [Group-level composite],Datuk Alvin Tay (DCEO/acting CFO),Anysia Yeung,Ker Yong (Director - Head of Legal and Compliance),"K.W.C. (Senior VP, Head of IT) [LeadIQ, MEDIUM-65]",Chen Thien Yin (Board Audit Committee Chair)
3,Development FIs,Bank Pembangunan Malaysia Berhad (BPMB),,Hee Wei Jean (Group CFO) [Official: bpmb.com.my],Hee Wei Jean (Group CFO) [Official: bpmb.com.my],Mohammad Azam Ahmad (Group CRO) [Official: bpmb.com.my],Rohayati Talha (Group CCO) [Official: bpmb.com.my],Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer) [Official: bpmb.com.my],Hasrul Farid Hasnan (Group Chief Internal Auditor) [Official: bpmb.com.my]
2,Insurers,Berjaya Sompo Insurance Berhad,,,Rina Aprila Afianty (Chief Financial Officer) [Official: berjayasompo.com.my],,Tricia Mallika Appaduray (Chief Compliance and Legal Officer) [Official: berjayasompo.com.my],,
4,E-Money,BigPay (Capital A),,,,,,,
3,MSBs,BigPay Malaysia Sdn Bhd,,,,,,,
3,MSBs,Billplz Sdn Bhd,,,,,,,
4,E-Money,Boost (Axiata + RHB),,,,,,,
6,Fintech Sandbox,Boost Bank Berhad,,,Steven Lim|Chief Financial Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CFO,Puteri Syurga|Chief Risk Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CRO,Dr Mohanamerry Vedamanikam|Chief Compliance Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank Chief Compliance Officer,Shankar Krishnan|Chief Technology Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CTO (maps to CIO/CTO role),
5,GLC-Linked,CIMB (Khazanah-linked),CEO: Novan Amirudin (Group CEO); Chairman: Datuk Syed Zaid Albar (since Jul 2025) [Official: cimb.com],Vera Handajani (CRO) + Kwan Keen Yew (Compliance) [Group-level: CIMB],"Khairul Rifaie (Group Chief Financial and Strategy Officer, 7.5yrs tenure) [SimplyWall.st + Official: cimb.com]",Vera Handajani (Group CRO) [Group-level: CIMB],Kwan Keen Yew (Group Chief Legal and Compliance Officer) [Group-level: CIMB],"Ros Aziah Mohd Yusoff (Group Chief Technology and Data Officer, 5.9yrs tenure) [SimplyWall.st + Official: cimb.com]","Amran Mohamad (Group Chief Internal Auditor, 7.7yrs tenure) [SimplyWall.st]"
1,Licensed Banks,CIMB Bank Berhad,Charles Samuel (Group CISO),Kwan Keen Yew (Group Chief Integrity & Governance Officer),Khairul Rifaie (Group Chief Financial & Strategy Officer),Vera Handajani (Group CRO),Kwan Keen Yew (Group Chief Legal & Compliance Officer),Ros Aziah Mohd Yusoff (Group CTO),Amran Mohamad (Group Chief Internal Auditor)
2,Investment Banks,CIMB Investment Bank Berhad,Charles Samuel (Group CISO) [Group-level: CIMB],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Official: cimb.com],Khairul Rifaie (Group CFO & Strategy Officer) [Official: cimb.com],Vera Handajani (Group CRO) [Official: cimb.com],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Official: cimb.com],Ros Aziah Mohd Yusoff (Group CTO) [Official: cimb.com],Amran Mohamad (Group Chief Internal Auditor) [Group-level: CIMB]
1,Licensed Banks,CIMB Islamic Bank Berhad,Charles Samuel (Group CISO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Group-level: CIMB Bank],Khairul Rifaie (Group Chief Financial & Strategy Officer) [Group-level: CIMB Bank],Vera Handajani (Group CRO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Group-level: CIMB Bank],Ros Aziah Mohd Yusoff (Group CTO) [group-level: CIMB Bank],Amran Mohamad (Group Chief Internal Auditor) [Group-level: CIMB Bank]
4,E-Money,CIMB OctoPay (CIMB Bank),,,,,,,
4,Card Schemes,CIMB Petronas Visa Card,,,,,,,
2,Insurers,Chubb Insurance Malaysia Berhad,,,"Olivier Bouchard (Executive Director, CFO Asia Pacific) [Official: chubb.com/my-en]",,,Kenny W. K. Tan (Chief Operating Officer) [LinkedIn: my.linkedin.com/in/kennytwk],
1,Licensed Banks,Citibank Berhad,,"CEO: Vikram Singh (CEO Citi Malaysia, effective 1 May 2023) [Official: theasianbanker.com, conf 90]; Country Lead: Divya Nair; Head of Commercial Bank: Shawn Khong [TheOfficialBoard]",Tan Alyse (Chief Financial Officer/Controller) [LinkedIn: my.linkedin.com/in/tan-alyse-2658791a0],,,"Abhijit Dattanand Kumta (Executive Director; MD Singapore O&T, Citi Solution Center Head ASEAN) [Official: citigroup.com board PDF, conf 85]",
5,GLC-Linked,Cradle Fund Sdn Bhd,,,,,,,
1,Licensed Banks,Credit Suisse (Malaysia) Berhad,"ENTITY STATUS: Credit Suisse acquired by UBS; parent banks merged 31 May 2024. Entity likely absorbed/restructured. [Source: ubs.com press release, conf 85]",,,,,,
3,MSBs,CurrencyFair (Malaysia) Sdn Bhd,,,,,,,
1,Licensed Banks,Deutsche Bank (Malaysia) Berhad,,,,"Surabhi Agarwal (Chief Risk Officer) [LinkedIn, conf 65]",,,
4,Payment Operators,DuitNow (by PayNet),,,,,,,
3,Development FIs,EXIM Bank Malaysia,,"Wan Noorazli Maula Wan Suleiman (Head of Legal, Governance & Recovery) [Official: exim.com.my]",,Abdul Hadi Jusoh (Chief Risk Officer) [Official: exim.com.my],Nizam Samad (Chief Compliance Officer) [Official: exim.com.my],,Shahrul Farelli Zulkiffli (Chief Internal Auditor) [Official: exim.com.my]
2,Insurers,Etiqa General Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]"
2,Insurers,Etiqa Life Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]"
2,Takaful,Etiqa Takaful Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]"
4,Payment Operators,FPX (by PayNet),,,,,,,
2,Insurers,FWD Insurance Berhad,,,Yeoh Eng Hun (Chief Financial Officer) [Official: fwd.com.my],Anita Menon (Acting Head of Risk) [Official: fwd.com.my],,,Cheryl Lim (Head of Internal Audit) [Official: fwd.com.my]
2,Takaful,Family Takaful Berhad,,"Shizal Fisham bin Ramli (Chief Governance Officer) [takaful-malaysia.com.my, HIGH-90]","New Kheng Chee (Group CFO) [takaful-malaysia.com.my, HIGH-90]",,"Redzuan bin Abu [takaful-malaysia.com.my, HIGH-90]","Nazaruddin Adha bin Md Noor (CTO) [takaful-malaysia.com.my, HIGH-90]","Zuhairi bin Ismail (Chief Internal Auditor) [takaful-malaysia.com.my, HIGH-90]"
3,MSBs,G2G Online (Malaysia) Sdn Bhd,,,,,,,
6,Fintech Sandbox,GX Bank Berhad,CEO: Kaushik Chowdhury (since Jun 2025); Deputy CEO/COO: Hildah Hamzah [Official: gxbank.my],Kiyoka Thaam (CRO) + Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my],Kenneth Leong (Chief Financial Officer) [Official: gxbank.my/our-leadership],Kiyoka Thaam (Chief Risk Officer) [Official: gxbank.my/our-leadership],Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my/our-leadership],Nishant Sharma (Chief Technology Officer) [Official: gxbank.my/our-leadership],Karina Sivam (Head of Internal Audit) [Official: gxbank.my/our-leadership]
6,Fintech Sandbox,GXBank Berhad,CEO: Kaushik Chowdhury (since Jun 2025); Deputy CEO/COO: Hildah Hamzah [Official: gxbank.my],Kiyoka Thaam (CRO) + Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my],Kenneth Leong (Chief Financial Officer) [Official: gxbank.my/our-leadership],Kiyoka Thaam (Chief Risk Officer) [Official: gxbank.my/our-leadership],Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my/our-leadership],Nishant Sharma (Chief Technology Officer) [Official: gxbank.my/our-leadership],Karina Sivam (Head of Internal Audit) [Official: gxbank.my/our-leadership]
2,Takaful,General Takaful Berhad,,"Shizal Fisham bin Ramli (Chief Governance Officer) [takaful-malaysia.com.my, HIGH-90]","New Kheng Chee (Group CFO) [takaful-malaysia.com.my, HIGH-90]",,"Redzuan bin Abu [takaful-malaysia.com.my, HIGH-90]","Nazaruddin Adha bin Md Noor (CTO) [takaful-malaysia.com.my, HIGH-90]","Zuhairi bin Ismail (Chief Internal Auditor) [takaful-malaysia.com.my, HIGH-90]"
2,Insurers,Generali Insurance Malaysia Berhad,,,,,Nor Hakimah Abdul Latiff (Chief Compliance Officer) [Official: generali.com.my],,Vivian Ho (Chief Internal Auditor) [Official: generali.com.my]
2,Insurers,Generali Life Insurance Malaysia Berhad,,Vincent Fong (CRO) + Aw Teck Yee (Compliance) [Composite],Tony Lin (Chief Financial Officer) [Official: generali.com.my],Vincent Fong (Chief Risk Officer) [Official: generali.com.my],Aw Teck Yee (Head of Compliance & AML) [Official: generali.com.my],,George Tan (Head of Internal Audit) [Official: generali.com.my]
4,E-Money,GrabPay (Grab Malaysia),,,,,,,
3,MSBs,GrabPay Malaysia Sdn Bhd,,,,,,,
2,Insurers,Great Eastern General Insurance (Malaysia) Berhad,"CEO: Jeremy Yeap Cheng Sun (Chief Executive Officer, joined 1 Feb 2025) [Official: greateasternlife.com, conf 95]",Liza Hanim Zainal Abidin (Legal/Compliance) + Audra Chung Kit Li (Audit),"Cheng Chuen Chee (Chief Financial Officer, assumed role Jul 2024) [Official: greateasternlife.com, conf 95]","Teo Chun Seng (Division Head, Risk Management) [Group role - Official: greateasternlife.com]",Liza Hanim Zainal Abidin,Vincent Chin,Audra Chung Kit Li
2,Insurers,Great Eastern Life Assurance (Malaysia) Berhad,"CEO: Dato Koh Yaw Hui (Chief Executive Officer, since 21 Jan 2008) [Official: greateasternlife.com, conf 95]",Teo Chun Seng (CRO) + Helen Quat Li Huang (Compliance) [Group-level composite],"Loke Chang Yueh (CFO, joined 2013) [Official: greateasternlife.com]","Teo Chun Seng (Division Head of Risk Management, appointed 1 Jan 2023) [Official: greateasternlife.com]","Helen Quat Li Huang (Division Head of Compliance, appointed 1 Jan 2023) [Official: greateasternlife.com]","Vincent Chin (Head of IT, joined 2007) [Official: greateasternlife.com]","Audra Chung Kit Li (Chief Internal Auditor, joined 2005) [Official: greateasternlife.com]"
2,Takaful,HSBC Amanah Takaful (Malaysia) Berhad,,,"Muhammad Afiq bin Hamzah (Acting CFO) [fwd.com.my, HIGH-85]",,"Lim Weng Leong [fwd.com.my, HIGH-85]",,
1,Licensed Banks,HSBC Bank Malaysia Berhad,,"Brian McGuire (Chief Risk & Compliance Officer) [TheOfficialBoard]; CEO: Dato Omar Siddiq (CEO and Head of Banking) [Official: hsbc.com.my, conf 95]",Elly Neoh (CFO),Brian McGuire (Chief Risk & Compliance Officer) [TheOfficialBoard],Brian McGuire (Chief Compliance Officer) [TheOfficialBoard],Mei Ling Soo (CIO),
2,Insurers,Hong Leong Assurance Berhad,,Lim Mei Gie (CRO) + Lee Noushi (Compliance) [Composite],"Ong Kheng Heng (Chief Financial Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Lim Mei Gie (Chief Risk Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Lee Noushi (Head of Legal and Chief Compliance Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Low Tek Chee (Chief Technology Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]",Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong]
4,Card Schemes,Hong Leong Bank AirMiles Card,,,,,,,
1,Licensed Banks,Hong Leong Bank Berhad,"Dr. Simon Hoh (CISO) [TheOrg: theorg.com/org/hong-leong-bank/org-chart/dr-simon-hoh, conf 65]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [The Org - unverified],Justin Soong (Group CRO) [RocketReach],Jack Babani (CCO) [The Org - unverified],William Streitberg (Chief Info & Tech Officer) [The Org],Chua Yew Lim (Chief Internal Auditor) [Official CG Report]
2,Investment Banks,Hong Leong Investment Bank Berhad,,Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [Group-level: Hong Leong Bank],Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank]
1,Licensed Banks,Hong Leong Islamic Bank Berhad,"Dr. Simon Hoh (CISO) [Group-level: Hong Leong Bank, TheOrg, conf 60]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [Group-level: Hong Leong Bank],Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank]
3,MSBs,I.Destinasi Sdn Bhd (IDSB),,,,,,,
1,Licensed Banks,ICBC (Malaysia) Berhad,,,,,"Liau Cheek (Chief Compliance Officer) [RocketReach, conf 65]",,Chin Chee Kong (Audit Committee Chair)
3,MSBs,Instarem Sdn Bhd,,,,,,,
5,GLC-Linked,Iskandar Waterfront City,,,,,,,
1,Licensed Banks,J.P. Morgan Chase Bank Malaysia Berhad,,,,,"Gail Koh De Josselin (Executive Director; CCO SE Asia) [Official CG Statement FY2024, conf 85]",,
2,Investment Banks,JCL Corporation Sdn Bhd,,,,,,,
6,Fintech Sandbox,Jirnexu (M) Sdn Bhd,,,,,,,
5,GLC-Linked,Johor Corporation (JCorp),,"Mohd Azmi Hitam (Chief Governance Officer) [Official: jcorp.com.my/our-leadership, 2026-07-13]","Rozaini Mohd Sani (Chief Financial Officer) [Official: jcorp.com.my/our-leadership, 2026-07-13]",,,"Ahmad Yusri Mohamed (Chief Digital Officer) [Official: jcorp.com.my/our-leadership, 2026-07-13]",
4,Payment Operators,JomPAY (by PayNet),,,,,,,
6,Fintech Sandbox,KAF Digital Bank,,,,,,,
6,Fintech Sandbox,KAF Digital Bank Berhad,,,,,,,
6,Fintech Sandbox,KDI Save Sdn Bhd,,,,,,,
5,GLC-Linked,KWSP Investment Division (Alternative Assets),,,,,,,
5,GLC-Linked,KWSP Investment Division (Direct Investments),,,,,,,
5,GLC-Linked,KWSP Investment Division (Real Estate),,,,,,,
2,Investment Banks,Kenanga Investment Bank Berhad,,Tai Yan Fee (CRO) + Choo Siew Fun (Compliance) [Group-level composite],Cheong Boon Kak (Group Chief Financial & Operations Officer) [Official: kenanga.com.my],Tai Yan Fee (Group Chief Risk Officer) [Official: kenanga.com.my],Choo Siew Fun (Group Chief Compliance & Ethics Officer) [Official: kenanga.com.my],Low Jia Yee (Chief Technology Officer) [Official: kenanga.com.my],Terence Tan Kian Meng (Group Chief Internal Auditor) [Official: kenanga.com.my]
5,GLC-Linked,Khazanah Nasional Berhad,,"Dato' Suhana Dewi Selamat (Head, Governance, Risk & Compliance) [Official: khazanah.com.my/Who-We-Are/Leadership, 2026-07-13]","Faridah Bakar Ali (Chief Financial Officer) [Official: khazanah.com.my/Who-We-Are/Leadership, 2026-07-13]","Dato' Suhana Dewi Selamat (Head, Governance, Risk & Compliance) [Official: khazanah.com.my, conf 95 - combined GRC+CRO+Compliance role]","Dato' Suhana Dewi Selamat (Head, Governance, Risk & Compliance) [Official: khazanah.com.my, conf 95 - combined role]","Datuk Hisham Hamdan (Chief Investment Officer) [Official: khazanah.com.my/responsible-stewardship/leadership/executive-management, conf 95]",
3,Cooperatives,Koperasi Angkatan Tentera,,,,,,,
3,Cooperatives,Koperasi Guru Malaysia,,,,,,,
3,Cooperatives,Koperasi Johor,,,,,,,
3,Cooperatives,Koperasi KL,,,,,,,
3,Cooperatives,Koperasi Kakitangan Kerajaan,,,,,,,
3,Cooperatives,Koperasi Kedah,,,,,,,
3,Cooperatives,Koperasi Kelantan,,,,,,,
3,Cooperatives,Koperasi Labuan,,,,,,,
3,Cooperatives,Koperasi Melaka,,,,,,,
3,Cooperatives,Koperasi Negeri Sembilan,,,,,,,
3,Cooperatives,Koperasi Pahang,,,,,,,
3,Cooperatives,Koperasi Perak,,,,,,,
3,Cooperatives,Koperasi Perlis,,,,,,,
3,Cooperatives,Koperasi Polis Diraja Malaysia,,,,,,,
3,Cooperatives,Koperasi Pulau Pinang,,,,,,,
3,Cooperatives,Koperasi Putrajaya,,,,,,,
