Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit,Stripped Titles
2,Takaful,Allianz Takaful Berhad,,,"Chin Xiao Wei (CFO) [SimplyWallSt lists ""Xiao Chin"" = Chin Xiao Wei. IAR 2024 confirms CFO of Allianz General but Takaful NOT mentioned in IAR. Group CFO may cover Takaful but unconfirmed. Source: SimplyWallSt + IAR 2024 cross-ref, conf 70]",,,"David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 80 — upgraded from 70. Group CIO likely covers Takaful but IAR 2024 does not mention Takaful]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 78. Group-level IA likely covers Takaful but IAR 2024 does not mention Takaful]",
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy (CISO) [CyberSec Malaysia 2023],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO),Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO),Faradina Binti Mohammad Ghouse (Group CCO),Wong Eng Teng (Group Chief Fintech & Technology Officer),Ng Ek Leong (Group Chief Internal Auditor),
4,Card Schemes,AmBank AirAsia Visa Card,,Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],,,,,,
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Group-level: AmBank],Faradina Binti Mohammad Ghouse (Group CCO) [Group-level: AmBank],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Group-level: AmBank],Ng Ek Leong (Group Chief Internal Auditor) [Group-level: AmBank],
2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (CRO) + Faradina Binti Mohammad Ghouse (Compliance) [Group-level composite],"Phuah Shok Cheng (Group CFO, AmBank Group) [Official: ambankgroup.com]",Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Official: ambankgroup.com],Faradina Binti Mohammad Ghouse (Group CCO) [Official: ambankgroup.com],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Official: ambankgroup.com],Ng Ek Leong (Group Chief Internal Auditor) [Official: ambankgroup.com],
2,Insurers,AmMetLife Insurance Berhad,,,Michelle Cheang (Chief Financial Officer) [Official: ammetlife.com],Low Siew Mooi (Chief Risk Officer) [Official: ammetlife.com],,Loh Tian Hu (Chief Information Officer) [Official: ammetlife.com],,
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),,Mohd Azmir Mohd Jani (CRO) + Sahlawati Mustafa (Compliance) [Group-level composite],"Mohd Irwan Ahmad Mustafa (Group Chief Strategy and Finance Officer, PNB) [Official: pnb.com.my]","Mohd Azmir Mohd Jani (Group Chief Risk Officer, PNB) [Official: pnb.com.my]",Sahlawati Mustafa (Group Head of Compliance PNB) [Official: pnb.com.my],"Ts Izzat Aziz — Chief Technology Officer, PNB Group [Official: PNB Integrated Report 2024, pnb.com.my/en/leadership-en] | conf 90 | ASNB is ""Managed by PNB""; no separate ASNB CIO/CTO. Ts Izzat Aziz won PIKOM CIO of the Year Award for AI Adoption. Inherited from PNB Group.",Noramly Bachok (Group Head Internal Audit PNB) [Official: pnb.com.my],
4,E-Money,Axiata Digital Services Sdn Bhd (Boost),,"Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 85 - GRC inherited from Axiata Group parent]","Komathi Balakrishnan (Acting Group CFO, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Thomas Hundt (Group Chief Business and Technology Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]",,
2,Investment Banks,BIMB Investment Bank Berhad,"Anthony Tai (Group CISO, Bank Islam) [Official: bankislam.com]","Nik Azmir Nik Anis (Group CCO + GRC Officer, Bank Islam) [Official: bankislam.com]","Siti Nur Huda Sufian (Group CFO, Bank Islam) [Official: bankislam.com]",Alina Sylvia Appoo (Group CRO) [Group-level: Bank Islam],"Nik Azmir Nik Anis (Group CCO, Bank Islam) [Official: bankislam.com]",Zulkanain Kassim (CITO) [Group-level: Bank Islam],"Zalfitri Abd Mutalip (Group Chief Internal Auditor, Bank Islam) [Official: bankislam.com]",
1,Licensed Banks,BNP Paribas Malaysia Berhad,,"CEO: Anthony Lo Chiang Loong (Executive Director, CEO & Head of Territory, appointed 1 Oct 2024) [Official: BNP Paribas CG Statement FY2024, conf 95]; Chairman: Dato' Mohamed Khadar bin Merican (Ind. Non-Exec Director, Chairman, appointed 1 Mar 2021) [conf 95]","Kevin Wong (CFO) [LinkedIn/ZoomInfo, conf 65]","Khoo Lian Kim (BRMC Chairman, former CRO RHB Banking Group) [CG Statement FY2024, conf 85]","Chan Mui Pin / Mrs. Lau Mui Pin (Exec Director, former Head of Compliance BNP Paribas Singapore & SEA) [CG Statement FY2024, conf 80]",,"Faisal bin Ismail (Audit Committee Chairman, Ind. Non-Exec Director) [CG Statement FY2024, conf 85]",
1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai (Group Chief Information Security Officer) [Official: bankislam.com],Nik Azmir Nik Anis (Group Chief Compliance Officer and Group Chief Integrity and Governance Officer) [Official: bankislam.com],Siti Nur Huda Sufian (Group Chief Financial Officer) [Official: bankislam.com],Alina Sylvia Appoo (Group CRO) [Bloomberg],Nik Azmir Nik Anis (Group Chief Compliance Officer) [Official: bankislam.com],Zulkanain Kassim (CITO) [LinkedIn],Zalfitri Abd Mutalip (Group Chief Internal Auditor) [Official: bankislam.com],
2,Investment Banks,Bank Rakyat Investment Bank Berhad,,,Nor Haimee Zakaria (Chief Finance Officer) [Group-level: Bank Rakyat],Azni Azaddin (Group Chief Risk Officer) [Group-level: Bank Rakyat],Jufree Soaidin (Group Chief Compliance Officer) [Group-level: Bank Rakyat],"Ismat Nazarul Mat Isa (Senior Manager Finance & IT) [Official: rmanagement.com.my/en/leadership, conf 82 - note: subsidiary-level, combined Finance & IT role]","Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership, conf 85 - note: subsidiary-level, combined Audit+Compliance+Governance role]",
3,Development FIs,Bank Rakyat Malaysia,"Ts. Tahrizi Tahreb (Cybersecurity Professional) [LinkedIn: my.linkedin.com/in/ts-tahrizi-tahreb, conf 40 - title not explicitly CISO]",Azni Azaddin (CRO) + Jufree Soaidin (Compliance) [Composite],Nor Haimee Zakaria (Chief Finance Officer) [Official: bankrakyat.com.my],Azni Azaddin (Group Chief Risk Officer) [Official: bankrakyat.com.my],Jufree Soaidin (Group Chief Compliance Officer) [Official: bankrakyat.com.my],Zulkanain Kassim (Chief Information Technology Officer) [LinkedIn/TheOfficialBoard],,
3,Development FIs,Bank Simpanan Nasional (BSN),,Muizz Aiman Farid (CRO) + Sujit Guha Thakurta (Compliance) [Composite],Norhafizah Md Shariff (Chief Financial Officer) [Official: bsn.com.my],Muizz Aiman Farid (SVP / Chief Risk Officer) [Official: bsn.com.my],Sujit Guha Thakurta (SVP / Chief Compliance Officer) [Official: bsn.com.my],Asrul Kamaruddin (Chief Information Officer) [TheOrg - unverified],,
1,Licensed Banks,Bank of China (Malaysia) Berhad,Willy Neo,Anysia Yeung (CRO) + Ker Yong (Compliance) [Group-level composite],Alvin Tay (DCEO/acting CFO),Anysia Yeung,Ker Yong (Director - Head of Legal and Compliance),"K.W.C. (Senior VP, Head of IT) [LeadIQ, MEDIUM-65]",Chen Thien Yin (Board Audit Committee Chair),Datuk
3,Development FIs,Bank Pembangunan Malaysia Berhad (BPMB),"Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer, CISO-equivalent) [Official: bpmb.com.my/about-us/leadership/, conf 80]",Mohammad Azam Ahmad (Group CRO) + Rohayati Talha (Group CCO) [Composite] [Official: bpmb.com.my],Hee Wei Jean (Group CFO) [Official: bpmb.com.my],Mohammad Azam Ahmad (Group CRO) [Official: bpmb.com.my],Rohayati Talha (Group CCO) [Official: bpmb.com.my],Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer) [Official: bpmb.com.my],Hasrul Farid Hasnan (Group Chief Internal Auditor) [Official: bpmb.com.my],
2,Insurers,Berjaya Sompo Insurance Berhad,"Mohamad Azman bin Soaed (Senior Manager - Information Security) [Malaysian Insurance Directory 2025/2026, conf 70]","Tricia Mallika Appaduray (Chief Compliance and Legal Officer - GRC-equivalent) [Official: berjayasompo.com.my/leadership-team, conf 75 - GRC-equivalent, same person as Head of Compliance]","Rina Aprila Afianty (Chief Financial Officer) [Official: berjayasompo.com.my/leadership-team, conf 95]","Samson Liew Zyun Fung (Head of Risk Management) [Malaysian Insurance Directory 2025/2026, conf 90]","Tricia Mallika Appaduray (Chief Compliance and Legal Officer) [Official: berjayasompo.com.my/leadership-team, conf 95]",,"Kesavan Raj A/L Krishnan (Head of Internal Audit) [Malaysian Insurance Directory 2025/2026, conf 90]",
4,E-Money,BigPay (Capital A),,,"Mun Hui Teh (Chief Financial Officer, Capital A Berhad) [Official: capitala.com/corporate_leadership.html, conf 80 - inherited from Capital A parent, BigPay = Capital A fintech subsidiary]",,,,,
3,MSBs,BigPay Malaysia Sdn Bhd,,,"Mun Hui Teh (Chief Financial Officer, Capital A Berhad - parent) [Official: capitala.com/corporate_leadership.html, conf 80 - inherited to BigPay. BigPay = Capital A (formerly AirAsia) fintech subsidiary, BNM-licensed e-money issuer. bigpayme.com has no leadership page. Capital A Deputy CEO Effendy Shahul Hamid oversees financial services portfolio (non-target). No BigPay-specific C-suite publicly published.]",,,,,
4,E-Money,Boost (Axiata + RHB),,"Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 85 - GRC inherited from Axiata Group parent] [INHERITED from Axiata Digital Services - parent]",Steven Lim|Chief Financial Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CFO [INHERITED from Boost Bank Berhad - product brand governance],Puteri Syurga|Chief Risk Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CRO [INHERITED from Boost Bank Berhad - product brand governance],Mohanamerry Vedamanikam|Chief Compliance Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank Chief Compliance Officer [INHERITED from Boost Bank Berhad - product brand governance],Shankar Krishnan|Chief Technology Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CTO (maps to CIO/CTO role) [INHERITED from Boost Bank Berhad - product brand governance],,Dr
6,Fintech Sandbox,Boost Bank Berhad,,,Steven Lim|Chief Financial Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CFO,Puteri Syurga|Chief Risk Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CRO,Mohanamerry Vedamanikam|Chief Compliance Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank Chief Compliance Officer,Shankar Krishnan|Chief Technology Officer|95|https://myboostbank.co/our-leadership-boost-bank|Boost Bank CTO (maps to CIO/CTO role),,Dr
5,GLC-Linked,CIMB (Khazanah-linked),,Vera Handajani (CRO) + Kwan Keen Yew (Compliance) [Group-level: CIMB],"Khairul Rifaie (Group Chief Financial and Strategy Officer, 7.5yrs tenure) [SimplyWall.st + Official: cimb.com]",Vera Handajani (Group CRO) [Group-level: CIMB],Kwan Keen Yew (Group Chief Legal and Compliance Officer) [Group-level: CIMB],"Ros Aziah Mohd Yusoff (Group Chief Technology and Data Officer, 5.9yrs tenure) [SimplyWall.st + Official: cimb.com]","Amran Mohamad (Group Chief Internal Auditor, 7.7yrs tenure) [SimplyWall.st]",
1,Licensed Banks,CIMB Bank Berhad,Charles Samuel (Group CISO),Kwan Keen Yew (Group Chief Integrity & Governance Officer),Khairul Rifaie (Group Chief Financial & Strategy Officer),Vera Handajani (Group CRO),Kwan Keen Yew (Group Chief Legal & Compliance Officer),Ros Aziah Mohd Yusoff (Group CTO),Amran Mohamad (Group Chief Internal Auditor),
2,Investment Banks,CIMB Investment Bank Berhad,Charles Samuel (Group CISO) [Group-level: CIMB],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Official: cimb.com],Khairul Rifaie (Group CFO & Strategy Officer) [Official: cimb.com],Vera Handajani (Group CRO) [Official: cimb.com],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Official: cimb.com],Ros Aziah Mohd Yusoff (Group CTO) [Official: cimb.com],Amran Mohamad (Group Chief Internal Auditor) [Group-level: CIMB],
1,Licensed Banks,CIMB Islamic Bank Berhad,Charles Samuel (Group CISO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Group-level: CIMB Bank],Khairul Rifaie (Group Chief Financial & Strategy Officer) [Group-level: CIMB Bank],Vera Handajani (Group CRO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Group-level: CIMB Bank],Ros Aziah Mohd Yusoff (Group CTO) [group-level: CIMB Bank],Amran Mohamad (Group Chief Internal Auditor) [Group-level: CIMB Bank],
4,E-Money,CIMB OctoPay (CIMB Bank),Charles Samuel (Group CISO) [INHERITED from CIMB Bank Berhad - product brand governance],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [INHERITED from CIMB Bank Berhad - product brand governance],Khairul Rifaie (Group Chief Financial & Strategy Officer) [INHERITED from CIMB Bank Berhad - product brand governance],Vera Handajani (Group CRO) [INHERITED from CIMB Bank Berhad - product brand governance],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [INHERITED from CIMB Bank Berhad - product brand governance],Ros Aziah Mohd Yusoff (Group CTO) [INHERITED from CIMB Bank Berhad - product brand governance],Amran Mohamad (Group Chief Internal Auditor) [INHERITED from CIMB Bank Berhad - product brand governance],
4,Card Schemes,CIMB Petronas Visa Card,Charles Samuel (Group CISO) [INHERITED from CIMB Bank Berhad - product brand governance],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [INHERITED from CIMB Bank Berhad - product brand governance],Khairul Rifaie (Group Chief Financial & Strategy Officer) [INHERITED from CIMB Bank Berhad - product brand governance],Vera Handajani (Group CRO) [INHERITED from CIMB Bank Berhad - product brand governance],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [INHERITED from CIMB Bank Berhad - product brand governance],Ros Aziah Mohd Yusoff (Group CTO) [INHERITED from CIMB Bank Berhad - product brand governance],Amran Mohamad (Group Chief Internal Auditor) [INHERITED from CIMB Bank Berhad - product brand governance],
2,Insurers,Chubb Insurance Malaysia Berhad,,Mohzani Bin Abdul Wahab (Director) [Official: chubb.com/my-en conf 85],Olivier Bouchard (Executive Director CFO Asia Pacific) [Official: chubb.com/my-en],"Ng Khai Yan (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]",,Kenny W. K. Tan (Chief Operating Officer) [LinkedIn: my.linkedin.com/in/kennytwk],"Chong Keh Bin (Head of Internal Audit) [Malaysian Insurance Directory 2025/2026, conf 90]",Dato'
1,Licensed Banks,Citibank Berhad,,"CEO: Vikram Singh (CEO Citi Malaysia, effective 1 May 2023) [Official: theasianbanker.com, conf 90]; Country Lead: Divya Nair; Head of Commercial Bank: Shawn Khong [TheOfficialBoard]",Tan Alyse (Chief Financial Officer/Controller) [LinkedIn: my.linkedin.com/in/tan-alyse-2658791a0],Mark Fordyce Hart (Chairman Risk Mgmt Cmte) [Official: citigroup.com board PDF conf 80],,"Abhijit Dattanand Kumta (Executive Director; MD Singapore O&T, Citi Solution Center Head ASEAN) [Official: citigroup.com board PDF, conf 85]",Norazilla binti Md Tahir (Audit Cmte Chair former CFO Cagamas) [Official: citigroup.com board PDF conf 85],Puan
1,Licensed Banks,Deutsche Bank (Malaysia) Berhad,"Jeng Yean Won (CISO Malaysia, Thailand & Vietnam) [LinkedIn: my.linkedin.com/in/jengyeanwon, conf 65]",,"Liew Yeh Yin (Officer primarily responsible for the financial management of Deutsche Bank (Malaysia) Berhad) [Official: Deutsche Bank Malaysia FY2025 Audited Financial Statements Statutory Declaration (page 50): ""I, Liew Yeh Yin, being the Officer primarily responsible for the financial management of Deutsche Bank (Malaysia) Berhad""; also confirmed FY2024 FS page 48; deutschehelix.db.com/malaysia, conf 95]","Surabhi Agarwal (Chief Risk Officer) [LinkedIn, conf 65]",,,,
4,Payment Operators,DuitNow (by PayNet),"Meling Mudin (Chief Information Security Officer, PayNet group) [Inherited from PayNet parent per v5.5 leadership-inheritance precedent. Source: Star Cybersecurity Summit 2025 speaker page + LinkedIn + ZoomInfo; conf 95]",,"Tan Wei Tze (Chief Financial Officer, PayNet) [PayNet leadership - DuitNow is a PayNet product, inherited, conf 85]",,,"Teh Lip Guan (Chief Technology Officer, PayNet) [PayNet leadership - DuitNow is a PayNet product, inherited, conf 85]",,
3,Development FIs,EXIM Bank Malaysia,"Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer, BPMB Group, CISO-equivalent) [Official: bpmb.com.my/about-us/leadership/, conf 80]","Wan Noorazli Maula Wan Suleiman (Head of Legal, Governance & Recovery) [Official: exim.com.my]; Mohammad Azam Ahmad (Group CRO) + Rohayati Talha (Group CCO) [Composite, BPMB Group] [Official: bpmb.com.my]","Hee Wei Jean (Group CFO, BPMB) [Official: bpmb.com.my/about-us/leadership]","Abdul Hadi Jusoh (Chief Risk Officer) [Official: exim.com.my]; Mohammad Azam Ahmad (Group CRO, BPMB) [Official: bpmb.com.my]","Nizam Samad (Chief Compliance Officer) [Official: exim.com.my]; Rohayati Talha (Group CCO, BPMB) [Official: bpmb.com.my]","Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer, BPMB) [Official: bpmb.com.my/about-us/leadership]","Shahrul Farelli Zulkiffli (Chief Internal Auditor) [Official: exim.com.my]; Hasrul Farid Hasnan (Group Chief Internal Auditor, BPMB) [Official: bpmb.com.my]",
2,Insurers,Etiqa General Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]",
2,Insurers,Etiqa Life Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]",
2,Takaful,Etiqa Takaful Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]",
4,Payment Operators,FPX (by PayNet),"Meling Mudin (Chief Information Security Officer, PayNet group) [Inherited from PayNet parent per v5.5 leadership-inheritance precedent. Source: Star Cybersecurity Summit 2025 speaker page + LinkedIn + ZoomInfo; conf 95]",,"Tan Wei Tze (Chief Financial Officer, PayNet) [PayNet leadership - FPX is a PayNet product, inherited, conf 85]",,,"Teh Lip Guan (Chief Technology Officer, PayNet) [PayNet leadership - FPX is a PayNet product, inherited, conf 85]",,
2,Insurers,FWD Insurance Berhad,,"Anita Menon (Acting Head of Risk, oversees governance) [Official: fwd.com.my/about-us/ins/meet-our-team, conf 80]","Yeoh Eng Hun (Chief Financial Officer) [Official: fwd.com.my/about-us/ins/meet-our-team, conf 95]","Anita Menon (Acting Head of Risk) [Official: fwd.com.my/about-us/ins/meet-our-team, conf 95]","Anita Menon (Chief Governance Officer, oversees compliance) [Official: fwd.com.my/about-us/fmh/meet-our-team, conf 65 - same person as Head of GRC; Chief Governance Officer title covers compliance function]",,"Cheryl Lim (Head of Internal Audit) [Official: fwd.com.my, conf 75 - not on current leadership page]",
2,Takaful,Family Takaful Berhad,"Nazaruddin Adha bin Md Noor (Chief Technology Officer - CISO-equivalent) [Official: takaful-malaysia.com.my/en/about-us/our-leaders, conf 75 - CISO-equivalent, no dedicated CISO published]","Shizal Fisham bin Ramli (Chief Governance Officer) [takaful-malaysia.com.my, HIGH-90]","New Kheng Chee (Group CFO) [takaful-malaysia.com.my, HIGH-90]","Shizal Fisham Ramli (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 85 - note: same name appears at Takaful Malaysia GRC; cross-entity role]","Redzuan bin Abu [takaful-malaysia.com.my, HIGH-90]","Nazaruddin Adha bin Md Noor (CTO) [takaful-malaysia.com.my, HIGH-90]","Zuhairi bin Ismail (Chief Internal Auditor) [takaful-malaysia.com.my, HIGH-90]",
