id,name,role_normalized,company_normalized,company_legal_entity,confidence_score,source_url,country,region,notes,date_collected
52,Vikram Singh,CEO,Citibank Malaysia,Citibank Berhad,95,https://theedgemalaysia.com/node/664448,Malaysia,Kuala Lumpur,"CEO effective May 1, 2023; joined Citi 1999; former Head Asia-Pacific regional account management",2026-07-10
53,En. Samad Majid Zain Abdul Majid,CEO,SME Bank,SME Bank Malaysia,95,https://www.smebank.com.my/senior-management,Malaysia,Kuala Lumpur,CEO; promoted from acting CEO role,2026-07-10
54,En. Zabidi Abdullah,CBO,SME Bank,SME Bank Malaysia,90,https://www.smebank.com.my/senior-management,Malaysia,Kuala Lumpur,Chief Business Officer,2026-07-10
55,Pn. Zarina Nor Ismail,COO,SME Bank,SME Bank Malaysia,90,https://www.smebank.com.my/senior-management,Malaysia,Kuala Lumpur,Chief Operating Officer,2026-07-10
56,Pn. Shuhaibahtulaslamiah Hurmuzan,CHRO,SME Bank,SME Bank Malaysia,90,https://www.smebank.com.my/senior-management,Malaysia,Kuala Lumpur,Chief Human Capital Officer,2026-07-10
57,Nurbayu Kasim Chang,CEO,EXIM Bank,Export-Import Bank of Malaysia Berhad,95,https://www.exim.com.my/press_release/nurbayu-kasim-chang-appointed-as-president-and-chief-executive-officer-of-exim-bank-malaysia/,Malaysia,Kuala Lumpur,President and CEO appointed 17 Feb 2025; former Chief Business Officer; ACCA 1999,2026-07-10
58,Mr George Lee Lap Wah,Chairman,OCBC Malaysia,OCBC Bank (Malaysia) Berhad,95,https://www.ocbc.com.my/group/about-us/our-leadership,Malaysia,Kuala Lumpur,Independent Non-Executive Chairman since 1 Oct 2024; former EVP OCBC Ltd,2026-07-10
59,Mr Tan Chor Sen,CEO,OCBC Malaysia,OCBC Bank (Malaysia) Berhad,90,https://www.ocbc.com/group/investors/annual-reports/2024-annual-report/our-management.page,Malaysia,Kuala Lumpur,CEO Malaysia; confirmed via OCBC Group Annual Report 2024,2026-07-10
60,Dato' Seri Dr Md Hamzah bin Md Kassim,Chairman,Prudential Malaysia,Prudential Assurance Malaysia Berhad,95,https://www.prudential.com.my/en/about-us/our-company/leadership/,Malaysia,Kuala Lumpur,Chairman of Board of Directors,2026-07-10
61,Tony Collingridge,Board Member,Prudential Malaysia,Prudential Assurance Malaysia Berhad,85,https://www.prudential.com.my/en/about-us/our-company/leadership/,Malaysia,Kuala Lumpur,Independent Director,2026-07-10
62,Chin Kwai Fatt,Board Member,Prudential Malaysia,Prudential Assurance Malaysia Berhad,85,https://www.prudential.com.my/en/about-us/our-company/leadership/,Malaysia,Kuala Lumpur,Independent Director,2026-07-10
63,Naveen Tahilyani,Executive Director,Prudential Malaysia,Prudential Assurance Malaysia Berhad,90,https://www.prudential.com.my/en/about-us/our-company/leadership/,Malaysia,Kuala Lumpur,Executive Director,2026-07-10
64,Foong Pik Yee,Board Member,Prudential Malaysia,Prudential Assurance Malaysia Berhad,85,https://www.prudential.com.my/en/about-us/our-company/leadership/,Malaysia,Kuala Lumpur,Independent Director,2026-07-10
65,Mohd Yuzaidi bin Mohd Yusoff,Board Member,Prudential Malaysia,Prudential Assurance Malaysia Berhad,85,https://www.prudential.com.my/en/about-us/our-company/leadership/,Malaysia,Kuala Lumpur,Independent Director,2026-07-10
66,Trevor Matthews,Board Member,Prudential Malaysia,Prudential Assurance Malaysia Berhad,85,https://www.prudential.com.my/en/about-us/our-company/leadership/,Malaysia,Kuala Lumpur,Independent Director,2026-07-10
67,Alexis Jong Kian Wei,CIO,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,95,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,Chief Investment Officer; since 2001; MBA Fin Mgmt (Distinction); CFP,2026-07-10
68,Teo Chun Seng,CRO,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,90,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,"Division Head, Risk Management; since 2010; BComm Accounting & Finance (UWA)",2026-07-10
69,Helen Quat Li Huang,Compliance,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,90,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,"Division Head, Compliance; joined 2011; LL.B (Hons) (UM); Certified Fraud Examiner",2026-07-10
70,Jeremy Yeap Cheng Sun,CEO,Great Eastern General,Great Eastern General Insurance (Malaysia) Berhad,95,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,CEO GEGM; joined 1 Feb 2025; BA (UKM); Chartered Insurer; ACII,2026-07-10
71,Cheng Chuen Chee,CFO,Great Eastern General,Great Eastern General Insurance (Malaysia) Berhad,90,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,"CFO GEGM; since 2011; BSc Actuarial Science (UKM)",2026-07-10
72,Vikram Singh,CEO,Citibank Malaysia,Citibank Berhad,95,https://www.citigroup.com/global/about-us/global-presence/malaysia,Malaysia,Kuala Lumpur,Citi Country Officer Malaysia; CEO since 2023; led strategic refresh in 2024,2026-07-10
73,Tan Alyse,CFO,Citibank Malaysia,Citibank Berhad,90,https://my.linkedin.com/in/tan-alyse-2658791a0,Malaysia,Kuala Lumpur,Chief Financial Officer/Controller; LinkedIn confirmed,2026-07-10
74,Zdenek Turek,CRO,Citibank Malaysia,Citibank Berhad,75,https://www.citigroup.com/global/about-us/leadership/zdenek-turek,Malaysia,Kuala Lumpur,Group Chief Risk Officer since Feb 2021; Malaysia risk oversight at group level,2026-07-10
75,Mark Fordyce Hart,Chairman,Citibank Malaysia,Citibank Berhad,95,2024 Citibank Berhad Annual Report,Malaysia,Kuala Lumpur,Chairman & INED; American national; 100% board attendance 2024; chairs Audit Committee,2026-07-10
76,Kenny Cheong,CISO,Citibank Malaysia,Citibank Berhad,70,https://my.linkedin.com/in/kenny-cheong-213026b2,Malaysia,Kuala Lumpur,Chief Information Security Officer; LinkedIn profile; requires cross-reference,2026-07-10
77,Wu Jun,CEO,Bank of China Malaysia,Bank of China (Malaysia) Berhad,95,https://www.bankofchina.com.my/dam/en-my/top/about-us/corporate-governance/BOARDCOMPOSITION20260109.pdf,Malaysia,Kuala Lumpur,Executive Director/CEO appointed 5 Nov 2025; Chinese national age 48; MBA Central Univ Finance & Economics; 26+ years at BOC,2026-07-10
78,Yu Xiaohui,Chairman,Bank of China Malaysia,Bank of China (Malaysia) Berhad,95,https://www.bankofchina.com.my/dam/en-my/top/about-us/corporate-governance/BOARDCOMPOSITION20260109.pdf,Malaysia,Kuala Lumpur,Chairman/NINED appointed 27 May 2024; Chinese national age 57; CAMS qualified; ex-Deputy GM Group Audit BOCHK,2026-07-10
79,Anysia Yeung,CRO,Bank of China Malaysia,Bank of China (Malaysia) Berhad,85,https://my.linkedin.com/in/anysia-yeung-5464b12bb,Malaysia,Kuala Lumpur,Chief Risk Officer; LinkedIn confirmed; location 50450 KL,2026-07-10
80,Willy Neo,CISO,Bank of China Malaysia,Bank of China (Malaysia) Berhad,90,https://my.linkedin.com/in/willy-neo-a41299162,Malaysia,Kuala Lumpur,"Chief Information Security Officer and DPO; CISM, CCISO certified; 20+ years banking security",2026-07-10
81,Ker Yong,Compliance,Bank of China Malaysia,Bank of China (Malaysia) Berhad,85,https://rocketreach.co/bank-of-china-malaysia-berhad-management_b5d8511cf42e53aa,Malaysia,Kuala Lumpur,Director - Head of Legal and Compliance; RocketReach org chart,2026-07-10
82,Datuk Alvin Tay,CFO,Bank of China Malaysia,Bank of China (Malaysia) Berhad,70,https://my.linkedin.com/in/datuk-alvin-tay-3010761b,Malaysia,Kuala Lumpur,Deputy CEO; may oversee finance function; requires verification,2026-07-10
83,Chen Thien Yin,Audit,Bank of China Malaysia,Bank of China (Malaysia) Berhad,90,https://www.bankofchina.com.my/dam/en-my/top/about-us/corporate-governance/BOARDCOMPOSITION20260109.pdf,Malaysia,Kuala Lumpur,"INED appointed 9 Jan 2026; Chairman Audit Committee; age 58; Syracuse Univ Finance; Fintech Revolution Wharton 2021; ex-CEO Al Rajhi Banking Malaysia 2016-2020",2026-07-10
84,Geng Hao,CEO,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,95,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,"MD/CEO appointed 26 Sep 2024; Chinese national; MBA Renmin University; 24+ years banking; former Deputy GM ICBC Singapore",2026-07-10
85,Wei Quanhong,Chairman,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,90,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,"Non-Independent Non-Executive Director and Chairperson; appointed 8 Feb 2023; 30+ years banking; started ICBC July 1991",2026-07-10
86,Liau See Cheek,Compliance,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,90,https://my.linkedin.com/in/liau-see-cheek-9a9aa866,Malaysia,Kuala Lumpur,Chief Compliance Officer; LinkedIn and RocketReach confirmed,2026-07-10
87,Sum Leng Kuang,CRO,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,90,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,"INED appointed 15 Apr 2019; Chairman Board Risk Management Committee; Certified Financial Planner; 30+ years fund management; ex-Great Eastern Head Fixed Income (managed RM40B)",2026-07-10
88,Chin Chee Kong,Audit,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,90,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,"INED appointed 10 Aug 2017; Chairman Audit Committee; Chartered Accountant MIA; 35 years audit; ex-KPMG Partner 1990-2014; current board Naim Holdings, Perdana Petroleum",2026-07-10
89,Ng Lip Yong,GRC,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,85,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,"INED appointed 7 Feb 2019; Chairman Nomination & Remuneration Committee; former Deputy Minister MITI Malaysia; former Chairman Malaysian Logistic Council; Honourary Advisor Malaysia-China Chamber of Commerce",2026-07-10
