Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
4,E-Money,Alipay+ Malaysia (Ant Group),,,,,,,
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song (Group CISO) [LinkedIn],,Ronnie Royston Fernandiz (Group CFO),Jacob Abraham (Group CRO + Compliance),"Jacob Abraham (Group CRO, also responsible for Group Compliance)",Nantha Kumar Subramanian (Group Chief Digital & Info Officer),Andrew Ng Yin Min (Group Chief Internal Auditor)
2,Investment Banks,Alliance Investment Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],,Ronnie Royston Fernandiz (Group CFO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO) [Group-level: Alliance Bank],"Jacob Abraham (Group CRO, also responsible for Group Compliance) [Group-level: Alliance Bank]",Nantha Kumar Subramanian (Group Chief Digital & Info Officer) [Group-level: Alliance Bank],Andrew Ng Yin Min (Group Chief Internal Auditor) [Group-level: Alliance Bank]
1,Licensed Banks,Alliance Islamic Bank Berhad,,,Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group CRO) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Info Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,,,Xiao Chin (CFO) [SimplyWallSt],,,David Brandl (CIO) [SimplyWallSt],
2,Insurers,Allianz Life Insurance Malaysia Berhad,,,Xiao Chin (CFO) [SimplyWallSt],,,David Brandl (CIO) [SimplyWallSt],
2,Takaful,Allianz Takaful Berhad,,,Xiao Chin (CFO) [SimplyWallSt],,,David Brandl (CIO) [SimplyWallSt],
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy (CISO) [CyberSec Malaysia 2023],,Phuah Shok Cheng (Group CFO),Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO),Faradina Binti Mohammad Ghouse (Group CCO),Wong Eng Teng (Group Chief Fintech & Technology Officer),Ng Ek Leong (Group Chief Internal Auditor)
4,Card Schemes,AmBank AirAsia Visa Card,,,,,,,
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],,Phuah Shok Cheng (Group CFO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Group-level: AmBank],Faradina Binti Mohammad Ghouse (Group CCO) [Group-level: AmBank],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Group-level: AmBank],Ng Ek Leong (Group Chief Internal Auditor) [Group-level: AmBank]
2,Investment Banks,AmInvestment Bank Berhad,,,"Phuah Shok Cheng (Group CFO, AmBank Group) [Official: ambankgroup.com]",Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Official: ambankgroup.com],Faradina Binti Mohammad Ghouse (Group CCO) [Official: ambankgroup.com],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Official: ambankgroup.com],Ng Ek Leong (Group Chief Internal Auditor) [Official: ambankgroup.com]
2,Insurers,AmMetLife Insurance Berhad,,,Michelle Cheang (Chief Financial Officer) [Official: ammetlife.com],Low Siew Mooi (Chief Risk Officer) [Official: ammetlife.com],,Loh Tian Hu (Chief Information Officer) [Official: ammetlife.com],
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),CEO: Muzzaffar Othman (now GCOO PNB); Chairman PNB: Raja Tan Sri Raja Arshad [Official: pnb.com.my],,"Mohd Irwan Ahmad Mustafa (Group Chief Strategy and Finance Officer, PNB) [Official: pnb.com.my]","Mohd Azmir Mohd Jani (Group Chief Risk Officer, PNB) [Official: pnb.com.my]",Sahlawati Mustafa (Group Head of Compliance PNB) [Official: pnb.com.my],,Noramly Bachok (Group Head Internal Audit PNB) [Official: pnb.com.my]
4,E-Money,Axiata Digital Services Sdn Bhd (Boost),,,,,,,
2,Investment Banks,BIMB Investment Bank Berhad,"Anthony Tai (Group CISO, Bank Islam) [Official: bankislam.com]","Nik Azmir Nik Anis (Group CCO + GRC Officer, Bank Islam) [Official: bankislam.com]","Siti Nur Huda Sufian (Group CFO, Bank Islam) [Official: bankislam.com]",,"Nik Azmir Nik Anis (Group CCO, Bank Islam) [Official: bankislam.com]",,"Zalfitri Abd Mutalip (Group Chief Internal Auditor, Bank Islam) [Official: bankislam.com]"
1,Licensed Banks,BNP Paribas Malaysia Berhad,CEO: Anthony Lo Chiang Loong (Executive Director, CEO since 1 Oct 2024) [Official: BNP Paribas CG Statement FY2024],,,,,,
1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai (Group CISO),Nik Azmir Nik Anis (Group Chief Integrity and Governance Officer),Siti Nur Huda Sufian (Group CFO),Alina Sylvia Appoo (Group CRO) [Bloomberg],Nik Azmir Nik Anis (Group CCO + GRC Officer),Zulkanain Kassim (CITO) [LinkedIn],Zalfitri Abd Mutalip (Group Chief Internal Auditor)
2,Investment Banks,Bank Rakyat Investment Bank Berhad,,,Nor Haimee Zakaria (Chief Finance Officer) [Group-level: Bank Rakyat],Azni Azaddin (Group Chief Risk Officer) [Group-level: Bank Rakyat],Jufree Soaidin (Group Chief Compliance Officer) [Group-level: Bank Rakyat],,
3,Development FIs,Bank Rakyat Malaysia,,,Nor Haimee Zakaria (Chief Finance Officer) [Official: bankrakyat.com.my],Azni Azaddin (Group Chief Risk Officer) [Official: bankrakyat.com.my],Jufree Soaidin (Group Chief Compliance Officer) [Official: bankrakyat.com.my],,
3,Development FIs,Bank Simpanan Nasional (BSN),,,Norhafizah Md Shariff (Chief Financial Officer) [Official: bsn.com.my],Muizz Aiman Farid (SVP / Chief Risk Officer) [Official: bsn.com.my],Sujit Guha Thakurta (SVP / Chief Compliance Officer) [Official: bsn.com.my],,
1,Licensed Banks,Bank of China (Malaysia) Berhad,Willy Neo,,Datuk Alvin Tay (DCEO/acting CFO),Anysia Yeung,Ker Yong (Director - Head of Legal and Compliance),,Chen Thien Yin (Board Audit Committee Chair)
3,Development FIs,Bank Pembangunan Malaysia Berhad (BPMB),,Hee Wei Jean (Group CFO) [Official: bpmb.com.my],Hee Wei Jean (Group CFO) [Official: bpmb.com.my],Mohammad Azam Ahmad (Group CRO) [Official: bpmb.com.my],Rohayati Talha (Group CCO) [Official: bpmb.com.my],Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer) [Official: bpmb.com.my],Hasrul Farid Hasnan (Group Chief Internal Auditor) [Official: bpmb.com.my]
2,Insurers,Berjaya Sompo Insurance Berhad,,,Rina Aprila Afianty (Chief Financial Officer) [Official: berjayasompo.com.my],,Tricia Mallika Appaduray (Chief Compliance and Legal Officer) [Official: berjayasompo.com.my],,
4,E-Money,BigPay (Capital A),,,,,,,
3,MSBs,BigPay Malaysia Sdn Bhd,,,,,,,
3,MSBs,Billplz Sdn Bhd,,,,,,,
4,E-Money,Boost (Axiata + RHB),,,,,,,
6,Fintech Sandbox,Boost Bank Berhad,CEO: Fozia Amanulla (Chief Executive Officer); Deputy CEO: Ungku Norliza [Official: myboost.co/about-us/our-leadership],,Alex Ng (Chief Financial Officer, Boost Group) [Official: myboost.co],,Ranjini Suppiah (Group Head of Legal Risk & Compliance) [Official: myboost.co],Sandeep Singh (Group Head of Technology) [Official: myboost.co],
5,GLC-Linked,CIMB (Khazanah-linked),CEO: Novan Amirudin (Group CEO); Chairman: Datuk Syed Zaid Albar (since Jul 2025) [Official: cimb.com],,"Khairul Rifaie (Group Chief Financial and Strategy Officer, 7.5yrs tenure) [SimplyWall.st + Official: cimb.com]",,,"Ros Aziah Mohd Yusoff (Group Chief Technology and Data Officer, 5.9yrs tenure) [SimplyWall.st + Official: cimb.com]","Amran Mohamad (Group Chief Internal Auditor, 7.7yrs tenure) [SimplyWall.st]"
1,Licensed Banks,CIMB Bank Berhad,Charles Samuel (Group CISO),Kwan Keen Yew (Group Chief Integrity & Governance Officer),Khairul Rifaie (Group Chief Financial & Strategy Officer),Vera Handajani (Group CRO),Kwan Keen Yew (Group Chief Legal & Compliance Officer),Ros Aziah Mohd Yusoff (Group CTO),Amran Mohamad (Group Chief Internal Auditor)
2,Investment Banks,CIMB Investment Bank Berhad,,Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Official: cimb.com],Khairul Rifaie (Group CFO & Strategy Officer) [Official: cimb.com],Vera Handajani (Group CRO) [Official: cimb.com],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Official: cimb.com],Ros Aziah Mohd Yusoff (Group CTO) [Official: cimb.com],
1,Licensed Banks,CIMB Islamic Bank Berhad,Charles Samuel (Group CISO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Integrity & Governance Officer) [Group-level: CIMB Bank],Khairul Rifaie (Group Chief Financial & Strategy Officer) [Group-level: CIMB Bank],Vera Handajani (Group CRO) [Group-level: CIMB Bank],Kwan Keen Yew (Group Chief Legal & Compliance Officer) [Group-level: CIMB Bank],Ros Aziah Mohd Yusoff (Group CTO) [group-level: CIMB Bank],Amran Mohamad (Group Chief Internal Auditor) [Group-level: CIMB Bank]
4,E-Money,CIMB OctoPay (CIMB Bank),,,,,,,
4,Card Schemes,CIMB Petronas Visa Card,,,,,,,
2,Insurers,Chubb Insurance Malaysia Berhad,,,"Olivier Bouchard (Executive Director, CFO Asia Pacific) [Official: chubb.com/my-en]",,,Kenny W. K. Tan (Chief Operating Officer) [LinkedIn: my.linkedin.com/in/kennytwk],
1,Licensed Banks,Citibank Berhad,,,Tan Alyse (Chief Financial Officer/Controller) [LinkedIn: my.linkedin.com/in/tan-alyse-2658791a0],,,,
5,GLC-Linked,Cradle Fund Sdn Bhd,,,,,,,
1,Licensed Banks,Credit Suisse (Malaysia) Berhad,Now UBS Malaysia (UBS acquired Credit Suisse 2023). No leadership page found on ubs.com/my. [Status update],,,,,,
3,MSBs,CurrencyFair (Malaysia) Sdn Bhd,,,,,,,
1,Licensed Banks,Deutsche Bank (Malaysia) Berhad,CEO: Dato' Yusof Annuar bin Yaacob (Executive Director) [MEDIUM - task context],,,,,,
4,Payment Operators,DuitNow (by PayNet),,,,,,,
3,Development FIs,EXIM Bank Malaysia,,"Wan Noorazli Maula Wan Suleiman (Head of Legal, Governance & Recovery) [Official: exim.com.my]",,Abdul Hadi Jusoh (Chief Risk Officer) [Official: exim.com.my],Nizam Samad (Chief Compliance Officer) [Official: exim.com.my],,Shahrul Farelli Zulkiffli (Chief Internal Auditor) [Official: exim.com.my]
2,Insurers,Etiqa General Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],
2,Insurers,Etiqa Life Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],
2,Takaful,Etiqa Takaful Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],
4,Payment Operators,FPX (by PayNet),,,,,,,
2,Insurers,FWD Insurance Berhad,,,Yeoh Eng Hun (Chief Financial Officer) [Official: fwd.com.my],Anita Menon (Acting Head of Risk) [Official: fwd.com.my],,,Cheryl Lim (Head of Internal Audit) [Official: fwd.com.my]
2,Takaful,Family Takaful Berhad,CEO: Nor Azman bin Zainal (Group CEO) [Official: takaful-malaysia.com.my],Shizal Fisham bin Ramli (Chief Governance Officer) [Group-level: STMB] [Official: takaful-malaysia.com.my],New Kheng Chee (Group CFO) [Group-level: STMB] [Official: takaful-malaysia.com.my],,Redzuan bin Abu (Head of Compliance) [Group-level: STMB] [Official: takaful-malaysia.com.my],Nazaruddin Adha bin Md Noor (Chief Technology Officer) [Group-level: STMB] [Official: takaful-malaysia.com.my],Zuhairi bin Ismail (Head of Internal Audit) [Group-level: STMB] [Official: takaful-malaysia.com.my]
3,MSBs,G2G Online (Malaysia) Sdn Bhd,,,,,,,
6,Fintech Sandbox,GX Bank Berhad,CEO: Kaushik Chowdhury (since Jun 2025); Deputy CEO/COO: Hildah Hamzah [Official: gxbank.my],,Kenneth Leong (Chief Financial Officer) [Official: gxbank.my/our-leadership],Kiyoka Thaam (Chief Risk Officer) [Official: gxbank.my/our-leadership],Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my/our-leadership],Nishant Sharma (Chief Technology Officer) [Official: gxbank.my/our-leadership],Karina Sivam (Head of Internal Audit) [Official: gxbank.my/our-leadership]
6,Fintech Sandbox,GXBank Berhad,CEO: Kaushik Chowdhury (since Jun 2025); Deputy CEO/COO: Hildah Hamzah [Official: gxbank.my],,Kenneth Leong (Chief Financial Officer) [Official: gxbank.my/our-leadership],Kiyoka Thaam (Chief Risk Officer) [Official: gxbank.my/our-leadership],Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my/our-leadership],Nishant Sharma (Chief Technology Officer) [Official: gxbank.my/our-leadership],Karina Sivam (Head of Internal Audit) [Official: gxbank.my/our-leadership]
2,Takaful,General Takaful Berhad,,,,,,,
2,Insurers,Generali Insurance Malaysia Berhad,,,,,Nor Hakimah Abdul Latiff (Chief Compliance Officer) [Official: generali.com.my],,Vivian Ho (Chief Internal Auditor) [Official: generali.com.my]
2,Insurers,Generali Life Insurance Malaysia Berhad,,,Tony Lin (Chief Financial Officer) [Official: generali.com.my],Vincent Fong (Chief Risk Officer) [Official: generali.com.my],Aw Teck Yee (Head of Compliance & AML) [Official: generali.com.my],,George Tan (Head of Internal Audit) [Official: generali.com.my]
4,E-Money,GrabPay (Grab Malaysia),,,,,,,
3,MSBs,GrabPay Malaysia Sdn Bhd,,,,,,,
2,Insurers,Great Eastern General Insurance (Malaysia) Berhad,,Liza Hanim Zainal Abidin (Legal/Compliance) + Audra Chung Kit Li (Audit),Loke Chang Yueh,,Liza Hanim Zainal Abidin,Vincent Chin,Audra Chung Kit Li
2,Insurers,Great Eastern Life Assurance (Malaysia) Berhad,,,"Loke Chang Yueh (CFO, joined 2013) [Official: greateasternlife.com]","Teo Chun Seng (Division Head of Risk Management, appointed 1 Jan 2023) [Official: greateasternlife.com]","Helen Quat Li Huang (Division Head of Compliance, appointed 1 Jan 2023) [Official: greateasternlife.com]","Vincent Chin (Head of IT, joined 2007) [Official: greateasternlife.com]","Audra Chung Kit Li (Chief Internal Auditor, joined 2005) [Official: greateasternlife.com]"
2,Takaful,HSBC Amanah Takaful (Malaysia) Berhad,,,,,,,
1,Licensed Banks,HSBC Bank Malaysia Berhad,,,Elly Neoh (CFO),Brian McGuire (Acting Chief Risk & Compliance Officer),Brian McGuire (Acting CCO),Mei Ling Soo (CIO),
2,Insurers,Hong Leong Assurance Berhad,,,Loh Guat Lan (Group MD/CEO) [TheOfficialBoard],,,,
4,Card Schemes,Hong Leong Bank AirMiles Card,,,,,,,
1,Licensed Banks,Hong Leong Bank Berhad,,,Malkit Singh (CFO) [The Org - unverified],Justin Soong (Group CRO) [RocketReach],Jack Babani (CCO) [The Org - unverified],William Streitberg (Chief Info & Tech Officer) [The Org],Chua Yew Lim (Chief Internal Auditor) [Official CG Report]
2,Investment Banks,Hong Leong Investment Bank Berhad,,,Malkit Singh (CFO) [Group-level: Hong Leong Bank],Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank]
1,Licensed Banks,Hong Leong Islamic Bank Berhad,,,Malkit Singh (CFO) [Group-level: Hong Leong Bank],Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank]
3,MSBs,I.Destinasi Sdn Bhd (IDSB),,,,,,,
1,Licensed Banks,ICBC (Malaysia) Berhad,,,,,,,Chin Chee Kong (Audit Committee Chair)
3,MSBs,Instarem Sdn Bhd,,,,,,,
5,GLC-Linked,Iskandar Waterfront City,,,,,,,
1,Licensed Banks,J.P. Morgan Chase Bank Malaysia Berhad,CEO: Wong Hooi Ching (Executive Director, CEO since 3 Jan 2022) [Official: JPM CG Statement 2025],,,Lalitha A/P Rajah Manikam (MD Head of APAC GFCC - APAC-level based HK; ED from Jan 2026) [Official: JPM CG Statement 2025],,,
2,Investment Banks,JCL Corporation Sdn Bhd,,,,,,,
6,Fintech Sandbox,Jirnexu (M) Sdn Bhd,,,,,,,
5,GLC-Linked,Johor Corporation (JCorp),,,,,,,
4,Payment Operators,JomPAY (by PayNet),,,,,,,
6,Fintech Sandbox,KAF Digital Bank,,,,,,,
6,Fintech Sandbox,KAF Digital Bank Berhad,,,,,,,
6,Fintech Sandbox,KDI Save Sdn Bhd,,,,,,,
5,GLC-Linked,KWSP Investment Division (Alternative Assets),,,,,,,
5,GLC-Linked,KWSP Investment Division (Direct Investments),,,,,,,
5,GLC-Linked,KWSP Investment Division (Real Estate),,,,,,,
2,Investment Banks,Kenanga Investment Bank Berhad,,,Cheong Boon Kak (Group Chief Financial & Operations Officer) [Official: kenanga.com.my],Tai Yan Fee (Group Chief Risk Officer) [Official: kenanga.com.my],Choo Siew Fun (Group Chief Compliance & Ethics Officer) [Official: kenanga.com.my],Low Jia Yee (Chief Technology Officer) [Official: kenanga.com.my],Terence Tan Kian Meng (Group Chief Internal Auditor) [Official: kenanga.com.my]
5,GLC-Linked,Khazanah Nasional Berhad,,,,,,,
3,Cooperatives,Koperasi Angkatan Tentera,,,,,,,
3,Cooperatives,Koperasi Guru Malaysia,,,,,,,
3,Cooperatives,Koperasi Johor,,,,,,,
3,Cooperatives,Koperasi KL,,,,,,,
3,Cooperatives,Koperasi Kakitangan Kerajaan,,,,,,,
3,Cooperatives,Koperasi Kedah,,,,,,,
3,Cooperatives,Koperasi Kelantan,,,,,,,
3,Cooperatives,Koperasi Labuan,,,,,,,
3,Cooperatives,Koperasi Melaka,,,,,,,
3,Cooperatives,Koperasi Negeri Sembilan,,,,,,,
3,Cooperatives,Koperasi Pahang,,,,,,,
3,Cooperatives,Koperasi Perak,,,,,,,
3,Cooperatives,Koperasi Perlis,,,,,,,
3,Cooperatives,Koperasi Polis Diraja Malaysia,,,,,,,
3,Cooperatives,Koperasi Pulau Pinang,,,,,,,
3,Cooperatives,Koperasi Putrajaya,,,,,,,
3,Cooperatives,Koperasi Sabah,,,,,,,
3,Cooperatives,Koperasi Sarawak,,,,,,,
3,Cooperatives,Koperasi Selangor,,,,,,,
3,Cooperatives,Koperasi Tentera Malaysia,,,,,,,
3,Cooperatives,Koperasi Terengganu,,,,,,,
5,GLC-Linked,Kumpulan Wang Simpanan Pekerja (KWSP),Jasmine Goh (Head of Dept Digital Security) [Official: kwsp.gov.my/organisation-structure],Mohd Dali Jasmin (Head of Dept Integrity & Corporate Governance) [Official: kwsp.gov.my],Ahmad Rizal Omar (Chief Financial Officer) [Official: kwsp.gov.my],Rozlina Abd Samad (Head of Dept Risk Management) [Official: kwsp.gov.my],Chong Yee Leng (Head of Dept Operations Compliance) [Official: kwsp.gov.my],Afhzal Abdul Rahman (Chief Digital Technology Officer) [Official: kwsp.gov.my],Mohammad Nasir Ismail (Head of Dept Internal Audit) [Official: kwsp.gov.my]
2,Insurers,Kurnia Insurans (Malaysia) Berhad,Now Liberty Insurance Berhad (acquired by Liberty Mutual ~2020). See Liberty General Insurance Berhad row. [Status update],,,,,,
3,Development FIs,LPPSA,CEO: Mohd Farid Bin Dato' Hj. Nawawi [LinkedIn + Official: lppsa.gov.my],,,,,,
5,GLC-Linked,Lembaga Tabung Haji,CEO: Mustakim Mohamad (since 6 May 2025); Prev CEO: Datuk Syed Hamadah Syed Othman (ended 5 May 2025) [News: bharian.com.my],,"Mustakim Mohamad (was Group Exec Dir Finance/CFO, now CEO since 6 May 2025) [Official: bharian.com.my, hmetro.com.my]",,,,
2,Insurers,Liberty General Insurance Berhad,,,Suppiah Poongavanam (Chief Financial Officer) [Wayback Machine: libertyinsurance.com.my],Jonathan Chong (Chief Risk Officer) [Wayback Machine: libertyinsurance.com.my],Suffian bin Abdul Rahman (Chief Compliance Officer) [Wayback Machine: libertyinsurance.com.my],Ganesan Vaithilingam (Chief Information Officer) [Wayback Machine: libertyinsurance.com.my],Tan Bee Chuan (Chief Internal Auditor) [Wayback Machine: libertyinsurance.com.my]
2,Insurers,Lonpac Insurance Bhd,Lai Geng Farn (Chief Information Security Officer) [Official: lonpac.com],,,Lee Chiew Lai (Chief Risk Officer) [Official: lonpac.com],Mahinder Kaur a/p Kapal Singh (Chief Compliance Officer) [Official: lonpac.com],Cynthia Ng Boon Howe (Chief Information Officer) [Official: lonpac.com],
4,E-Money,MAE by Maybank (Maybank Islamic),,,,,,,
4,E-Money,MAE by Maybank (Maybank2u),,,,,,,
3,Development FIs,MARA,DG: Zulfikri (Ketua Pengarah MARA/Director General) [Official: mara.gov.my],,,,,Dr. Azmi bin Amat Murjan (Ketua Pegawai Digital/CDO, Timbalan Ketua Pengarah MARA) [Official: mara.gov.my],
5,GLC-Linked,MARA (Majlis Amanah Rakyat),,,,,,,
2,Insurers,MCIS Insurance Berhad,,,Susan Conradie (Chief Financial Officer) [Official: mcis.my],,Norlin Fatima Albakri (Chief Compliance Officer) [Official: mcis.my],Ng Chee Sang (Chief Technology Officer) [Official: mcis.my],Noor Hayati binti Abu Yaziz (Chief Internal Auditor) [Official: mcis.my]
2,Investment Banks,MIDF Amanah Investment Bank Berhad,,Nor Azita Binti Sarip (SVP/Head Group Secretarial & Legal) [Official: midf.com.my],,,Meor Ibrahim Othman (SVP/Head Group Compliance) [Official: midf.com.my],,Zanariah Daud (SVP/Head Group Control Assurance) [Official: midf.com.my]
2,Insurers,MSIG Insurance (Malaysia) Bhd,,,,"Kelvin Hii Chee Yun (SVP, Enterprise Risk Management) [Official: MSIG Annual Report 2025]",,,
2,Investment Banks,Malaysia International Islamic Bank IB,,,,,,,
2,Insurers,Manulife Insurance Berhad,Group CEO: Vibha Hamsi Coburn [Official: manulife.com.my],"Jasbender Kaur (Chief Counsel & Corporate Services Officer, 15.5yrs tenure) [SimplyWall.st]",,,Senthil Woon (Chief Compliance Officer) [RocketReach],,
2,Takaful,Manulife Takaful Malaysia Berhad,Entity may not exist - Manulife Malaysia has no Takaful entity. Manulife operates via Manulife Insurance Berhad. [Status update],,,,,,
5,GLC-Linked,Maybank (Khazanah-linked),,,,,,,
1,Licensed Banks,Maybank Berhad,Devinder Singh (Group CISO) [LinkedIn/The Org],,Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,,Giorgio Migliarina (Group Chief Technology & Digital Officer),
4,Card Schemes,Maybank Cash & Go Prepaid Card,,,,,,,
2,Investment Banks,Maybank Investment Bank Berhad,,,"Ezrina Mahadzir (CFO, appointed 1 Apr 2021) [Official: maybank2u.com.my]","Cheryl Cheng Siew Ying (CRO, appointed 1 Jan 2021) [Official: maybank2u.com.my]",,"Adrian Tan Kai Thern (Head of IT, joined 25 Apr 2022) [Official: maybank2u.com.my]",
1,Licensed Banks,Maybank Islamic Berhad,Devinder Singh (Group CISO) [Group-level: Maybank],,Shafiq Abdul Jabbar (Group CFO) [Group-level: Maybank],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank],,Giorgio Migliarina (Group Chief Technology & Digital Officer) [Group-level: Maybank],
4,Card Schemes,Maybank Singapore Airlines Enrich Card,,,,,,,
4,Payment Operators,Me2U (by PayNet),,,,,,,
1,Licensed Banks,Mizuho Bank (Malaysia) Berhad,CEO: Daisuke Ihara (Executive Director, CEO from 1 July 2026; prev: Toshiharu Fujiwara) [Official: Mizuho Profile of Directors PDF],,,,,,
3,MSBs,Money Match Sdn Bhd,,,,,,,
3,MSBs,MoneyMatch Sdn Bhd,,,,,,,
1,Licensed Banks,OCBC Bank (Malaysia) Berhad,Dominic Yew,,Ms Teoh Yin Meng,Dr Priya Ranjan Sharma,Ms Doreen Keng Chun Ching,Mr Hong Hee Loon (Head of Technology),Mr Victor Ong Hock Seng
5,GLC-Linked,PNB Capital Berhad,,,,,,,
5,GLC-Linked,PNB Equity Fund Berhad,,,,,,,
5,GLC-Linked,PNB Income Fund Berhad,,,,,,,
