Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song (Group CISO) [LinkedIn],Jacob Abraham (Group CRO + Compliance oversight) [Official: alliancebank.com.my],Ronnie Royston Fernandiz (Group Chief Financial Officer) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also oversees Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Investment Banks,Alliance Investment Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
1,Licensed Banks,Alliance Islamic Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,"NOT FOUND [Board member Chiang Bin Fong (Marcus) was Chief IT Officer at AMB 2005-2020 with cybersecurity/IT governance oversight, now Independent Non-Executive Director at Allianz General (appointed 1 Jul 2026, Member of Risk Mgmt Committee). Current CISO not publicly named. Source: allianz.com.my/boards-of-directors (Jul 2026 scrape, successful), conf 85]","NOT FOUND [Board of Directors page (Jul 2026 scrape) confirms governance via Board committees (Allianz General RMC: Lim Tuang Ooi [Chair], Wee Lay Hua, Chiang Bin Fong; Audit: Tan Sri Zainun [Chair]; Nomination & Remuneration: Wong Kok Leong [Chair]); no dedicated Head of GRC named. Source: allianz.com.my/boards-of-directors, conf 85]","Chin Xiao Wei (CFO Allianz General) [Official: Allianz Malaysia IAR 2024 p.110 via Wayback Machine, conf 95. Also confirmed by Allianz Malaysia press release Oct 2025: allianz.com.my/personal/media-hub/2025/new-penang-branch.html]","Lim Tuang Ooi (Board Risk Management Committee Chairman, Independent Non-Executive Director; former CRO at EPF 2007-2019) [Official: allianz.com.my/boards-of-directors (Jul 2026 scrape); confidence: HIGH; board-level; executive CRO not separately named. Other Allianz General RMC members: Wee Lay Hua (Ind. Director, appointed 1 Dec 2022) and Chiang Bin Fong (Marcus) (Ind. Director, appointed 1 Jul 2026)]","NOT FOUND [Compliance function mentioned in IAR 2024 but no named individual on public website; Board of Directors page (Jul 2025) lists no compliance executive. Source: allianz.com.my/boards-of-directors, conf 60] Confirmed Jul 2026: allianz.com.my has anti-bot protection (document_antibot); web_extract and Firecrawl stealth scrape both failed. Board of Directors page previously extracted but management team page not discoverable. conf 85","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering AMB, Allianz General, Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering all AMB subsidiaries. Named in CG Report key management personnel.]"
2,Insurers,Allianz Life Insurance Malaysia Berhad,"NOT FOUND [Board member Chiang Bin Fong (Marcus) was Chief IT Officer at AMB 2005-2020 with cybersecurity/IT governance oversight, now Independent Non-Executive Director at Allianz General (appointed 1 Jul 2026, Member of Risk Mgmt Committee). Current CISO not publicly named. Source: allianz.com.my/boards-of-directors (Jul 2026 scrape, successful), conf 85]","NOT FOUND [Board of Directors page (Jul 2026 scrape) shows governance via Board committees (Allianz Life RMC: Lim Fen Nee + Foo Chee It; Audit: Peter Ho + Tan Sri Zainun; Nomination & Remuneration: Peter Ho + Wong Kok Leong); no dedicated Head of GRC named. Source: allianz.com.my/boards-of-directors, conf 85]",Giulio Slavich (CFO AMB & Allianz Life until 31 Dec 2025; became CEO of Allianz Life from 1 Jan 2026) [Official: allianz.com.my boards-of-directors page via Firecrawl Agent + IAR 2024 p.110; confidence: HIGH; CFO role may now be vacant or filled by successor],"NOT FOUND [Allianz Life Board Risk Mgmt Committee: Lim Fen Nee (Ind. Director, appointed 1 Jun 2021) and Foo Chee It (Ind. Director, appointed 1 Nov 2022). No separate executive CRO named for Allianz Life. Risk function managed at group level via Lim Tuang Ooi (Allianz General BRMC Chairman, former CRO at EPF 2007-2019). Source: allianz.com.my/boards-of-directors (Jul 2026 scrape, successful), conf 85]","NOT FOUND [Compliance function mentioned in annual report but no named individual on public website; Board of Directors page (Jul 2025) lists no compliance executive. Source: allianz.com.my/boards-of-directors, conf 60] Confirmed Jul 2026: allianz.com.my has anti-bot protection (document_antibot); web_extract and Firecrawl stealth scrape both failed. Board of Directors page previously extracted but management team page not discoverable. conf 85","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering Allianz Life.]"
2,Takaful,Allianz Takaful Berhad,"NOT FOUND [CISO function shared at group level; Board member Chiang Bin Fong (former Chief IT Officer) provides oversight. Source: allianz.com.my/boards-of-directors, conf 60] Confirmed Jul 2026: allianz.com.my has anti-bot protection (document_antibot); web_extract and Firecrawl stealth scrape both failed. Board of Directors page previously extracted but management team page not discoverable. conf 85","NOT FOUND [Governance via group-level Board committees; no dedicated GRC head for Takaful entity. Source: allianz.com.my/boards-of-directors, conf 60] Confirmed Jul 2026: allianz.com.my has anti-bot protection (document_antibot); web_extract and Firecrawl stealth scrape both failed. Board of Directors page previously extracted but management team page not discoverable. conf 85","Chin Xiao Wei (CFO) [SimplyWallSt lists ""Xiao Chin"" = Chin Xiao Wei. IAR 2024 confirms CFO of Allianz General but Takaful NOT mentioned in IAR. Group CFO may cover Takaful but unconfirmed. Source: SimplyWallSt + IAR 2024 cross-ref, conf 70]","NOT FOUND [Risk function shared at group level; Lim Tuang Ooi chairs Risk Mgmt Committee at Allianz General board level. Source: allianz.com.my/boards-of-directors, conf 60] Confirmed Jul 2026: allianz.com.my anti-bot blocked; risk function shared at group level. conf 85","NOT FOUND [Compliance function likely shared with Allianz Life/General; no named individual on public website. Source: allianz.com.my/boards-of-directors, conf 55] Confirmed Jul 2026: allianz.com.my has anti-bot protection (document_antibot); web_extract and Firecrawl stealth scrape both failed. Board of Directors page previously extracted but management team page not discoverable. conf 85","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 80 — upgraded from 70. Group CIO likely covers Takaful but IAR 2024 does not mention Takaful]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 78. Group-level IA likely covers Takaful but IAR 2024 does not mention Takaful]"
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy (CISO) [CyberSec Malaysia 2023],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO),Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO),Faradina Binti Mohammad Ghouse (Group CCO),Wong Eng Teng (Group Chief Fintech & Technology Officer),Ng Ek Leong (Group Chief Internal Auditor)
4,Card Schemes,AmBank AirAsia Visa Card,"NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]",Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],"NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]"
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Group-level: AmBank],Faradina Binti Mohammad Ghouse (Group CCO) [Group-level: AmBank],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Group-level: AmBank],Ng Ek Leong (Group Chief Internal Auditor) [Group-level: AmBank]
2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (CRO) + Faradina Binti Mohammad Ghouse (Compliance) [Group-level composite],"Phuah Shok Cheng (Group CFO, AmBank Group) [Official: ambankgroup.com]",Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Official: ambankgroup.com],Faradina Binti Mohammad Ghouse (Group CCO) [Official: ambankgroup.com],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Official: ambankgroup.com],Ng Ek Leong (Group Chief Internal Auditor) [Official: ambankgroup.com]
2,Insurers,AmMetLife Insurance Berhad,"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]","Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]",Michelle Cheang (Chief Financial Officer) [Official: ammetlife.com],Low Siew Mooi (Chief Risk Officer) [Official: ammetlife.com],"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]",Loh Tian Hu (Chief Information Officer) [Official: ammetlife.com],"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]"
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),"Aishah Farha Mohd Raih (CISO) [Official: ciosea.economictimes.indiatimes.com - Know Your CISO series, conf 90]",Mohd Azmir Mohd Jani (CRO) + Sahlawati Mustafa (Compliance) [Group-level composite],"Mohd Irwan Ahmad Mustafa (Group Chief Strategy and Finance Officer, PNB) [Official: pnb.com.my]","Mohd Azmir Mohd Jani (Group Chief Risk Officer, PNB) [Official: pnb.com.my]",Sahlawati Mustafa (Group Head of Compliance PNB) [Official: pnb.com.my],"Ts Izzat Aziz — Chief Technology Officer, PNB Group [Official: PNB Integrated Report 2024, pnb.com.my/en/leadership-en] | conf 90 | ASNB is ""Managed by PNB""; no separate ASNB CIO/CTO. Ts Izzat Aziz won PIKOM CIO of the Year Award for AI Adoption. Inherited from PNB Group.",Noramly Bachok (Group Head Internal Audit PNB) [Official: pnb.com.my]
4,E-Money,Axiata Digital Services Sdn Bhd (Boost),Shankar Krishnan|Chief Information Security Officer|85|https://my.linkedin.com/in/shankyk|CISO Axiata Digital group/Boost [LinkedIn + theorg.com confirmed. Also CTO at Boost Bank],"Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 85 - GRC inherited from Axiata Group parent]","Komathi Balakrishnan (Acting Group CFO, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Thomas Hundt (Group Chief Business and Technology Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]",Miraz Ahmed|Head of Internal Audit|80|https://my.linkedin.com/in/miraz-ahmed-76b20219|Head of Internal Audit at Boost Holding Sdn Bhd [LinkedIn confirmed. ~20 years telco/tower infrastructure audit experience in Bangladesh & Malaysia]
2,Investment Banks,BIMB Investment Bank Berhad,"Anthony Tai (Group CISO, Bank Islam) [Official: bankislam.com]","Nik Azmir Nik Anis (Group CCO + GRC Officer, Bank Islam) [Official: bankislam.com]","Siti Nur Huda Sufian (Group CFO, Bank Islam) [Official: bankislam.com]",Alina Sylvia Appoo (Group CRO) [Group-level: Bank Islam],"Nik Azmir Nik Anis (Group CCO, Bank Islam) [Official: bankislam.com]",Zulkanain Kassim (CITO) [Group-level: Bank Islam],"Zalfitri Abd Mutalip (Group Chief Internal Auditor, Bank Islam) [Official: bankislam.com]"
1,Licensed Banks,BNP Paribas Malaysia Berhad,"NOT FOUND [Checked: BNP Paribas Malaysia FY2025 CG Statement (58K chars, apac.bnpparibas), FY2023 CG Statement (62K chars). CISO function managed at BNP Paribas APAC/group level. Territory CISO role exists per group.bnpparibas careers but no Malaysia-specific CISO named. conf 75]","CEO: Anthony Lo Chiang Loong (Executive Director, CEO & Head of Territory, appointed 1 Oct 2024) [Official: BNP Paribas CG Statement FY2024, conf 95]; Chairman: Dato' Mohamed Khadar bin Merican (Ind. Non-Exec Director, Chairman, appointed 1 Mar 2021) [conf 95]","Kevin Wong (CFO) [LinkedIn/ZoomInfo, conf 65]","Khoo Lian Kim (BRMC Chairman, former CRO RHB Banking Group) [CG Statement FY2024, conf 85]","Chan Mui Pin / Mrs. Lau Mui Pin (Exec Director, former Head of Compliance BNP Paribas Singapore & SEA) [CG Statement FY2024, conf 80]","NOT FOUND - BNP Paribas Malaysia website redirects to APAC portal; no Malaysia-specific leadership page; CIO not publicly listed. CIO function likely at BNP Paribas APAC/regional level. [Sources: apac.bnpparibas, group.bnpparibas, conf 75]","Faisal bin Ismail (Audit Committee Chairman, Ind. Non-Exec Director) [CG Statement FY2024, conf 85]"
1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai (Group Chief Information Security Officer) [Official: bankislam.com],Nik Azmir Nik Anis (Group Chief Compliance Officer and Group Chief Integrity and Governance Officer) [Official: bankislam.com],Siti Nur Huda Sufian (Group Chief Financial Officer) [Official: bankislam.com],Alina Sylvia Appoo (Group CRO) [Bloomberg],Nik Azmir Nik Anis (Group Chief Compliance Officer) [Official: bankislam.com],Zulkanain Kassim (CITO) [LinkedIn],Zalfitri Abd Mutalip (Group Chief Internal Auditor) [Official: bankislam.com]
2,Investment Banks,Bank Rakyat Investment Bank Berhad,NOT FOUND [Checked: rmanagement.com.my/en/leadership — no CISO. Bank Rakyat parent Management Committee (bankrakyat.com.my/portal-main/leaders/management-committee) lists 8 senior managers — no CISO at group level either. Ismat Nazarul Mat Isa (Senior Manager Finance & IT) is closest IT-related role. Conf 40.],"Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership - combined GRC+Audit+Compliance role at subsidiary level. Conf 80]",Nor Haimee Zakaria (Chief Finance Officer) [Group-level: Bank Rakyat],Azni Azaddin (Group Chief Risk Officer) [Group-level: Bank Rakyat],Jufree Soaidin (Group Chief Compliance Officer) [Group-level: Bank Rakyat],"Ismat Nazarul Mat Isa (Senior Manager Finance & IT) [Official: rmanagement.com.my/en/leadership, conf 82 - note: subsidiary-level, combined Finance & IT role]","Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership, conf 85 - note: subsidiary-level, combined Audit+Compliance+Governance role]"
