Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
4,E-Money,Alipay+ Malaysia (Ant Group),"NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]"
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song (Group CISO) [LinkedIn],Jacob Abraham (Group CRO + Compliance oversight) [Official: alliancebank.com.my],Ronnie Royston Fernandiz (Group Chief Financial Officer) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also oversees Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Investment Banks,Alliance Investment Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
1,Licensed Banks,Alliance Islamic Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,"NOT FOUND [CISO not in 16-member Senior Management Team Profile (IAR 2024 p.107-115) or CG Report 2024 (104pp). CG Report mentions ""IT Security Officer"" only generically p.134. Sources: IAR 2024 + CG Report 2024 via Wayback Machine, conf 35]","NOT FOUND [No ""Head of GRC"" in IAR 2024 16-member Senior Management Team or CG Report 2024. ""Governance and Control Committee"" mentioned generically p.132 but no named head. Sources: IAR 2024 + CG Report 2024 via Wayback Machine, conf 35]","Chin Xiao Wei (CFO Allianz General) [Official: Allianz Malaysia IAR 2024 p.110 via Wayback Machine, conf 95 — upgraded from 90]","NOT FOUND [No current CRO in IAR 2024 16-member Senior Management Team or CG Report 2024. Charles Ong Eng Chow (CEO of Allianz Life) was CRO 2005-2010 (historical only). Sources: IAR 2024 + CG Report 2024, conf 35]","NOT FOUND [Compliance function mentioned generically in IAR 2024 (pp.132, 158) and CG Report 2024 but no named Head of Compliance in 16-member senior management team. Sources: IAR 2024 + CG Report 2024, conf 35]","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering AMB, Allianz General, Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering all AMB subsidiaries. Named in CG Report key management personnel.]"
2,Insurers,Allianz Life Insurance Malaysia Berhad,"NOT FOUND [CISO not in IAR 2024 16-member Senior Management Team or CG Report 2024. Sources: IAR 2024 + CG Report 2024 via Wayback Machine, conf 35]","NOT FOUND [No Head of GRC named in IAR 2024 or CG Report 2024. Sources: IAR 2024 + CG Report 2024, conf 35]","Giulio Slavich (CFO AMB & Allianz Life) [Official: Allianz Malaysia IAR 2024 p.110 + CG Report 2024 via Wayback Machine, conf 95 — upgraded from 90. CFO of both AMB holding and Allianz Life]","NOT FOUND [No current CRO. Charles Ong Eng Chow was CRO 2005-2010, now CEO. Sources: IAR 2024 + CG Report 2024, conf 35]","NOT FOUND [Compliance function mentioned generically, no named head. Sources: IAR 2024 + CG Report 2024, conf 35]","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering Allianz Life.]"
2,Takaful,Allianz Takaful Berhad,"NOT FOUND [IAR 2024 does NOT mention Allianz Takaful Berhad at all (report covers AMB, Allianz General, Allianz Life only). No separate Allianz Takaful management disclosure found. Sources: IAR 2024 + CG Report 2024, conf 35]","NOT FOUND [IAR 2024 does not mention Allianz Takaful. Sources: IAR 2024 + CG Report 2024, conf 35]","Chin Xiao Wei (CFO) [SimplyWallSt lists ""Xiao Chin"" = Chin Xiao Wei. IAR 2024 confirms CFO of Allianz General but Takaful NOT mentioned in IAR. Group CFO may cover Takaful but unconfirmed. Source: SimplyWallSt + IAR 2024 cross-ref, conf 70]","NOT FOUND [IAR 2024 does not mention Allianz Takaful. Sources: IAR 2024 + CG Report 2024, conf 35]","NOT FOUND [IAR 2024 does not mention Allianz Takaful. Sources: IAR 2024 + CG Report 2024, conf 35]","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 80 — upgraded from 70. Group CIO likely covers Takaful but IAR 2024 does not mention Takaful]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 78. Group-level IA likely covers Takaful but IAR 2024 does not mention Takaful]"
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy (CISO) [CyberSec Malaysia 2023],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO),Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO),Faradina Binti Mohammad Ghouse (Group CCO),Wong Eng Teng (Group Chief Fintech & Technology Officer),Ng Ek Leong (Group Chief Internal Auditor)
4,Card Schemes,AmBank AirAsia Visa Card,"NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]",Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],"NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]"
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Group-level: AmBank],Faradina Binti Mohammad Ghouse (Group CCO) [Group-level: AmBank],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Group-level: AmBank],Ng Ek Leong (Group Chief Internal Auditor) [Group-level: AmBank]
2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (CRO) + Faradina Binti Mohammad Ghouse (Compliance) [Group-level composite],"Phuah Shok Cheng (Group CFO, AmBank Group) [Official: ambankgroup.com]",Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Official: ambankgroup.com],Faradina Binti Mohammad Ghouse (Group CCO) [Official: ambankgroup.com],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Official: ambankgroup.com],Ng Ek Leong (Group Chief Internal Auditor) [Official: ambankgroup.com]
2,Insurers,AmMetLife Insurance Berhad,"NOT FOUND [Checked official Management Team page (8 executives listed, no CISO), Corporate Governance page, Board Charter PDF (13pp), LinkedIn company page (0 matches). CIO Loh Tian Hu may oversee infosec functionally but does not hold CISO title. Sources: ammetlife.com/about-us/about-ammetlife/management-team, conf 40]","NOT FOUND [No dedicated Head of GRC role disclosed. CRO Low Siew Mooi covers risk function; compliance likely falls under risk but no GRC-specific head named. Sources: ammetlife.com Management Team page, Corporate Governance page, Board Charter PDF, conf 40]",Michelle Cheang (Chief Financial Officer) [Official: ammetlife.com],Low Siew Mooi (Chief Risk Officer) [Official: ammetlife.com],"NOT FOUND [Checked Corporate Governance page (Board committees only, no management-level compliance head named), Board Charter PDF (mentions compliance function generically but no individual named), LinkedIn (0 matches). Annual report not publicly accessible. Sources: ammetlife.com/about-us/about-ammetlife/corporate-governance, conf 40]",Loh Tian Hu (Chief Information Officer) [Official: ammetlife.com],"NOT FOUND [Board Charter PDF (Section 2.6.2 ii) references ""Chief Internal Auditor"" as a role but does NOT name the person. Management Team page lists no internal audit head. LinkedIn 0 matches. Sources: ammetlife.com Board Charter V2.0 approved 11Dec2023 PDF, conf 40]"
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),"NOT FOUND [ASNB is a PNB subsidiary. CISO not publicly listed at ASNB level; cybersecurity function centralized at PNB group level. CEO Muzzaffar Othman (now GCOO PNB) is not a target role. Sources: pnb.com.my, conf 30]",Mohd Azmir Mohd Jani (CRO) + Sahlawati Mustafa (Compliance) [Group-level composite],"Mohd Irwan Ahmad Mustafa (Group Chief Strategy and Finance Officer, PNB) [Official: pnb.com.my]","Mohd Azmir Mohd Jani (Group Chief Risk Officer, PNB) [Official: pnb.com.my]",Sahlawati Mustafa (Group Head of Compliance PNB) [Official: pnb.com.my],"Ts Izzat Aziz — Chief Technology Officer, PNB Group [Official: PNB Integrated Report 2024, pnb.com.my/en/leadership-en] | conf 90 | ASNB is ""Managed by PNB""; no separate ASNB CIO/CTO. Ts Izzat Aziz won PIKOM CIO of the Year Award for AI Adoption. Inherited from PNB Group.",Noramly Bachok (Group Head Internal Audit PNB) [Official: pnb.com.my]
4,E-Money,Axiata Digital Services Sdn Bhd (Boost),Shankar Krishnan|Chief Information Security Officer|85|https://my.linkedin.com/in/shankyk|CISO Axiata Digital group/Boost [LinkedIn + theorg.com confirmed. Also CTO at Boost Bank],"Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 85 - GRC inherited from Axiata Group parent]","Komathi Balakrishnan (Acting Group CFO, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Thomas Hundt (Group Chief Business and Technology Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]",Miraz Ahmed|Head of Internal Audit|80|https://my.linkedin.com/in/miraz-ahmed-76b20219|Head of Internal Audit at Boost Holding Sdn Bhd [LinkedIn confirmed. ~20 years telco/tower infrastructure audit experience in Bangladesh & Malaysia]
2,Investment Banks,BIMB Investment Bank Berhad,"Anthony Tai (Group CISO, Bank Islam) [Official: bankislam.com]","Nik Azmir Nik Anis (Group CCO + GRC Officer, Bank Islam) [Official: bankislam.com]","Siti Nur Huda Sufian (Group CFO, Bank Islam) [Official: bankislam.com]",Alina Sylvia Appoo (Group CRO) [Group-level: Bank Islam],"Nik Azmir Nik Anis (Group CCO, Bank Islam) [Official: bankislam.com]",Zulkanain Kassim (CITO) [Group-level: Bank Islam],"Zalfitri Abd Mutalip (Group Chief Internal Auditor, Bank Islam) [Official: bankislam.com]"
1,Licensed Banks,BNP Paribas Malaysia Berhad,"NOT FOUND [Checked: BNP Paribas Malaysia FY2025 CG Statement (58K chars, apac.bnpparibas), FY2023 CG Statement (62K chars), FY2025 Audited Financial Statements (30pp). CG statements explicitly state ""Dirigeants Effectifs"" (Senior Management) are ONLY CEO and COO; CISO not mentioned. Mentions IT Steering Committee, Technology Risk Management Committee, Data Protection Committee but no CISO named. Conf 85.]","CEO: Anthony Lo Chiang Loong (Executive Director, CEO & Head of Territory, appointed 1 Oct 2024) [Official: BNP Paribas CG Statement FY2024, conf 95]; Chairman: Dato' Mohamed Khadar bin Merican (Ind. Non-Exec Director, Chairman, appointed 1 Mar 2021) [conf 95]","Kevin Wong (CFO) [LinkedIn/ZoomInfo, conf 65]","Khoo Lian Kim (BRMC Chairman, former CRO RHB Banking Group) [CG Statement FY2024, conf 85]","Chan Mui Pin / Mrs. Lau Mui Pin (Exec Director, former Head of Compliance BNP Paribas Singapore & SEA) [CG Statement FY2024, conf 80]","NOT FOUND [Checked: BNP Paribas Malaysia FY2023 + FY2025 CG Statements confirm only CEO and COO are formally recognised ""Dirigeants Effectifs""; no separate CIO/Head of IT role disclosed at country C-suite level. The 4 independent control functions reporting to Board are Compliance, Risk & Governance, Legal and Internal Audit (not IT). Country CIO may be regional role based in Singapore/Hong Kong. Conf 85.]","Faisal bin Ismail (Audit Committee Chairman, Ind. Non-Exec Director) [CG Statement FY2024, conf 85]"
1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai (Group Chief Information Security Officer) [Official: bankislam.com],Nik Azmir Nik Anis (Group Chief Compliance Officer and Group Chief Integrity and Governance Officer) [Official: bankislam.com],Siti Nur Huda Sufian (Group Chief Financial Officer) [Official: bankislam.com],Alina Sylvia Appoo (Group CRO) [Bloomberg],Nik Azmir Nik Anis (Group Chief Compliance Officer) [Official: bankislam.com],Zulkanain Kassim (CITO) [LinkedIn],Zalfitri Abd Mutalip (Group Chief Internal Auditor) [Official: bankislam.com]
2,Investment Banks,Bank Rakyat Investment Bank Berhad,NOT FOUND [Checked: rmanagement.com.my/en/leadership. No CISO role listed. Ismat Nazarul Mat Isa (Senior Manager Finance & IT) and other executives listed but no Head of Information Security. Bank Rakyat group annual report not accessible. Conf 35.],"Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership - combined GRC+Audit+Compliance role at subsidiary level. Conf 80]",Nor Haimee Zakaria (Chief Finance Officer) [Group-level: Bank Rakyat],Azni Azaddin (Group Chief Risk Officer) [Group-level: Bank Rakyat],Jufree Soaidin (Group Chief Compliance Officer) [Group-level: Bank Rakyat],"Ismat Nazarul Mat Isa (Senior Manager Finance & IT) [Official: rmanagement.com.my/en/leadership, conf 82 - note: subsidiary-level, combined Finance & IT role]","Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership, conf 85 - note: subsidiary-level, combined Audit+Compliance+Governance role]"
3,Development FIs,Bank Rakyat Malaysia,"Ts. Tahrizi Tahreb (Cybersecurity Professional) [LinkedIn: my.linkedin.com/in/ts-tahrizi-tahreb, conf 40 - title not explicitly CISO]",Azni Azaddin (CRO) + Jufree Soaidin (Compliance) [Composite],Nor Haimee Zakaria (Chief Finance Officer) [Official: bankrakyat.com.my],Azni Azaddin (Group Chief Risk Officer) [Official: bankrakyat.com.my],Jufree Soaidin (Group Chief Compliance Officer) [Official: bankrakyat.com.my],Zulkanain Kassim (Chief Information Technology Officer) [LinkedIn/TheOfficialBoard],"NOT FOUND [Head of Internal Audit / Chief Audit Executive not named in Bank Rakyat 2024 Audited FS (80pp) or 2025 Audited FS (50pp) — both reference 'Third Line of Defence - Internal Audit' function but do not name the role holder. Management Committee page lists 8 senior managers (Group CEO, CFO, CRBO, COO, CSSO, Group CRO, CPO, Group CCO) — none holds IA role. v5.10 confirmed across 3 sources; conf 88]"
